age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,566374,565920,547054,537956,537418,542326,545130,552693,558196,571096,564793,561023,565982,570929,565198,568351,567324,569271,562764,557192,544309,537368,517693,512878,500765,491163,479163,461532,444686,428912,423424,414394,401648,382968,381506,380796,380541,380479,380291,380239,380218,379974,379936,379613,378727,377831,376449,374888,372865,371120,369248,367084,364342,361439,358329,355170,351781,348537,345344,341985,338345,334798,331121,327409,323611,319882,316254,312849,309538,306581,303676,300958,298373,295966,293847,291996,290394,288839,287396,286135,285175,284171,283108,281973,280766,279490,278148,276739,275277,273758,272191,270590,268959,267313,265661,264018,262379,260748,259135
11,571769,568684,569499,551622,542931,541177,547924,551007,557461,561199,574185,566859,561945,566055,570683,564759,568083,567812,569337,566257,560013,546219,539820,520186,515371,503258,493656,481656,464025,447179,431405,425917,416887,404141,385461,383999,383289,383034,382972,382784,382732,382711,382467,382429,382106,381220,380324,378942,377381,375358,373613,371741,369577,366835,363932,360822,357663,354274,351030,347837,344478,340838,337291,333614,329902,326104,322375,318747,315342,312031,309074,306169,303451,300866,298459,296340,294489,292887,291332,289889,288628,287668,286664,285601,284466,283259,281983,280641,279232,277770,276251,274684,273083,271452,269806,268154,266511,264872,263241
12,562281,573863,571180,573595,556540,547135,546663,553371,555780,561491,563954,576443,567704,562246,566021,570232,564478,568576,568025,573063,568876,561956,548709,542291,522657,517842,505729,496127,484127,466496,449650,433876,428388,419358,406612,387932,386470,385760,385505,385443,385255,385203,385182,384938,384900,384577,383691,382795,381413,379852,377829,376084,374212,372048,369306,366403,363293,360134,356745,353501,350308,346949,343309,339762,336085,332373,328575,324846,321218,317813,314502,311545,308640,305922,303337,300930,298811,296960,295358,293803,292360,291099,290139,289135,288072,286937,285730,284454,283112,281703,280241,278722,277155,275554,273923,272277,270625,268982,267343
13,565951,564359,576103,574651,578284,560460,553021,551938,557633,559950,564733,566121,577668,567956,562296,565648,570184,565035,569063,572003,575758,570894,564423,551189,544771,525137,520322,508209,498607,486607,468976,452130,436356,430868,421838,409092,390412,388950,388240,387985,387923,387735,387683,387662,387418,387380,387057,386171,385275,383893,382332,380309,378564,376692,374528,371786,368883,365773,362614,359225,355981,352788,349429,345789,342242,338565,334853,331055,327326,323698,320293,316982,314025,311120,308402,305817,303410,301291,299440,297838,296283,294840,293579,292619,291615,290552,289417,288210,286934,285592,284183,282721,281202,279635,278034,276403,274757,273105,271462
14,544761,568358,566610,578992,578169,582015,566019,558684,556355,561392,563250,566488,567354,578507,568077,562006,565934,571168,565871,573180,574688,577971,573577,566914,553680,547262,527628,522813,510700,501098,489098,471467,454621,438847,433359,424329,411583,392903,391441,390731,390476,390414,390226,390174,390153,389909,389871,389548,388662,387766,386384,384823,382800,381055,379183,377019,374277,371374,368264,365105,361716,358472,355279,351920,348280,344733,341056,337344,333546,329817,326189,322784,319473,316516,313611,310893,308308,305901,303782,301931,300329,298774,297331,296070,295110,294106,293043,291908,290701,289425,288083,286674,285212,283693,282126,280525,278894,277248,275596
15,559012,547025,570882,569709,582731,581012,587212,571616,563539,560238,564605,565211,567577,568252,579057,567907,562182,566861,572210,570115,575894,576880,580898,576112,569449,556215,549797,530163,525348,513235,503633,491633,474002,457156,441382,435894,426864,414118,395438,393976,393266,393011,392949,392761,392709,392688,392444,392406,392083,391197,390301,388919,387358,385335,383590,381718,379554,376812,373909,370799,367640,364251,361007,357814,354455,350815,347268,343591,339879,336081,332352,328724,325319,322008,319051,316146,313428,310843,308436,306317,304466,302864,301309,299866,298605,297645,296641,295578,294443,293236,291960,290618,289209,287747,286228,284661,283060,281429,279783
16,578356,559983,549909,574567,573866,585817,585422,592699,576646,567923,563391,566829,566463,568447,569082,579513,568641,563617,568006,574780,572808,578392,580241,583611,578825,572162,558928,552510,532876,528061,515948,506346,494346,476715,459869,444095,438607,429577,416831,398151,396689,395979,395724,395662,395474,395422,395401,395157,395119,394796,393910,393014,391632,390071,388048,386303,384431,382267,379525,376622,373512,370353,366964,363720,360527,357168,353528,349981,346304,342592,338794,335065,331437,328032,324721,321764,318859,316141,313556,311149,309030,307179,305577,304022,302579,301318,300358,299354,298291,297156,295949,294673,293331,291922,290460,288941,287374,285773,284142
17,586101,579525,561513,554212,579441,577712,590672,590575,597942,581230,571802,566265,568311,567946,569765,570420,581989,570790,565389,569673,580417,576342,582548,583468,586838,582052,575389,562155,555737,536103,531288,519175,509573,497573,479942,463096,447322,441834,432804,420058,401378,399916,399206,398951,398889,398701,398649,398628,398384,398346,398023,397137,396241,394859,393298,391275,389530,387658,385494,382752,379849,376739,373580,370191,366947,363754,360395,356755,353208,349531,345819,342021,338292,334664,331259,327948,324991,322086,319368,316783,314376,312257,310406,308804,307249,305806,304545,303585,302581,301518,300383,299176,297900,296558,295149,293687,292168,290601,289000
18,601777,588055,582069,566152,560832,585235,584895,598015,597142,604124,586324,575809,568901,570728,570722,575369,579330,586873,574707,566163,569708,586339,581658,587783,588703,592073,587287,580624,567390,560972,541338,536523,524410,514808,502808,485177,468331,452557,447069,438039,425293,406613,405151,404441,404186,404124,403936,403884,403863,403619,403581,403258,402372,401476,400094,398533,396510,394765,392893,390729,387987,385084,381974,378815,375426,372182,368989,365630,361990,358443,354766,351054,347256,343527,339899,336494,333183,330226,327321,324603,322018,319611,317492,315641,314039,312484,311041,309780,308820,307816,306753,305618,304411,303135,301793,300384,298922,297403,295836
19,626198,602618,591807,585495,569759,566346,594830,594316,605884,603863,610128,591398,579167,572067,574614,577538,587285,585535,590744,576282,567290,577155,592297,587639,593764,594684,598054,593268,586605,573371,566953,547319,542504,530391,520789,508789,491158,474312,458538,453050,444020,431274,412594,411132,410422,410167,410105,409917,409865,409844,409600,409562,409239,408353,407457,406075,404514,402491,400746,398874,396710,393968,391065,387955,384796,381407,378163,374970,371611,367971,364424,360747,357035,353237,349508,345880,342475,339164,336207,333302,330584,327999,325592,323473,321622,320020,318465,317022,315761,314801,313797,312734,311599,310392,309116,307774,306365,304903,303384
