age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,566374,565920,547054,537956,537418,542326,545130,552693,558196,571096,564793,561023,565982,570929,565198,568351,567324,569271,562764,557192,544309,537368,517693,512878,500731,491062,478966,461210,444213,428262,422575,413324,400336,381396,383817,386933,390459,394137,397634,401224,404799,408080,411533,414615,417005,419311,420985,422367,423118,424099,424834,425121,424603,423877,422882,421812,420440,419241,418102,416745,415017,413403,411615,409774,407813,405937,404195,402757,401451,400646,399926,399479,399237,399268,399744,400645,401954,403377,405019,406985,409471,411823,414015,416027,417854,419500,420970,422265,423407,424391,425235,425966,426595,427156,427672,428179,428673,429170,429698
11,571769,568684,569499,551622,542931,541177,547924,551007,557461,561199,574185,566859,561945,566055,570683,564759,568083,567812,569337,566257,560013,546219,539820,520186,515337,503157,493455,481326,463537,446507,430523,424802,415517,402496,383523,385911,388994,392487,396131,399595,403152,406694,409942,413361,416410,418767,421039,422680,424029,424747,425694,426396,426650,426099,425339,424311,423208,421803,420570,419399,418008,416246,414600,412779,410904,408910,407001,405225,403755,402415,401577,400823,400344,400068,400066,400509,401376,402652,404042,405650,407584,410036,412355,414514,416493,418286,419899,421336,422598,423707,424657,425468,426166,426761,427289,427772,428245,428706,429170
12,562281,573863,571180,573595,556540,547135,546663,553371,555780,561491,563954,576443,567704,562246,566021,570232,564478,568576,568025,573063,568876,561956,548709,542291,522624,517742,505529,495795,483632,465810,448747,432730,426976,417659,404605,385599,387954,391004,394463,398075,401506,405030,408539,411754,415140,418156,420480,422720,424328,425643,426329,427243,427912,428133,427548,426756,425695,424559,423121,421855,420650,419227,417433,415753,413899,411992,409964,408022,406214,404710,403337,402467,401680,401167,400859,400824,401234,402068,403311,404668,406243,408144,410563,412849,414975,416921,418681,420261,421665,422894,423970,424888,425666,426331,426893,427388,427838,428278,428706
13,565951,564359,576103,574651,578284,560460,553021,551938,557633,559950,564733,566121,577668,567956,562296,565648,570184,565035,569063,572003,575758,570894,564423,551189,544737,525037,520123,507877,498109,485913,468059,450962,434912,429126,419775,406688,387649,389971,392988,396414,399993,403391,406882,410358,413539,416893,419876,422167,424373,425948,427230,427883,428764,429400,429588,428970,428145,427050,425882,424411,423112,421874,420418,418590,416877,414990,413050,410989,409014,407173,405636,404230,403326,402507,401961,401619,401551,401928,402729,403939,405263,406805,408673,411059,413312,415405,417318,419045,420592,421963,423159,424202,425086,425831,426463,426992,427454,427871,428278
14,544761,568358,566610,578992,578169,582015,566019,558684,556355,561392,563250,566488,567354,578507,568077,562006,565934,571168,565871,573180,574688,577971,573577,566914,553646,547162,527429,522481,510202,500401,488172,470284,453155,437071,431251,421868,408748,389675,391964,394947,398341,401886,405251,408709,412151,415300,418620,421570,423827,426000,427542,428791,429411,430259,430861,431016,430365,429507,428379,427177,425673,424341,423070,421580,419719,417973,416053,414079,411986,409977,408103,406533,405094,404157,403304,402725,402350,402249,402592,403360,404537,405828,407337,409171,411524,413744,415804,417683,419377,420891,422229,423391,424401,425252,425964,426562,427059,427487,427871
15,559012,547025,570882,569709,582731,581012,587212,571616,563539,560238,564605,565211,567577,568252,579057,567907,562182,566861,572210,570115,575894,576880,580898,576112,569415,556114,549596,529829,524847,512534,502699,490437,472515,455352,439234,433381,423963,410809,391703,393958,396908,400267,403779,407110,410534,413942,417057,420343,423260,425484,427623,429131,430346,430932,431746,432314,432436,431751,430859,429697,428461,426923,425558,424253,422729,420835,419055,417101,415093,412966,410924,409015,407411,405939,404968,404081,403468,403060,402925,403234,403968,405112,406369,407844,409644,411964,414150,416175,418021,419681,421161,422465,423594,424570,425388,426065,426630,427092,427487
16,578356,559983,549909,574567,573866,585817,585422,592699,576646,567923,563391,566829,566463,568447,569082,579513,568641,563617,568006,574780,572808,578392,580241,583611,578788,572055,558718,552164,532361,527343,514994,505123,492824,474866,457667,441513,435623,426170,412980,393837,396056,398970,402293,405769,409063,412451,415823,418902,422152,425032,427220,429323,430795,431974,432523,433301,433834,433919,433198,432269,431072,429800,428226,426824,425483,423923,421992,420176,418186,416142,413979,411901,409956,408316,406807,405800,404877,404228,403783,403612,403886,404583,405691,406911,408350,410114,412398,414547,416537,418347,419971,421415,422682,423775,424715,425496,426137,426666,427092
17,586101,579525,561513,554212,579441,577712,590672,590575,597942,581230,571802,566265,568311,567946,569765,570420,581989,570790,565389,569673,580417,576342,582548,583468,586794,581929,575153,561773,555176,535330,530269,517877,507963,495621,477620,460377,444181,438248,428751,415518,396333,398509,401379,404659,408092,411343,414689,418018,421053,424260,427097,429242,431302,432731,433867,434373,435108,435598,435640,434876,433904,432664,431349,429732,428287,426902,425300,423326,421467,419434,417347,415141,413019,411032,409348,407796,406747,405781,405088,404601,404387,404617,405272,406336,407514,408909,410631,412871,414978,416924,418691,420272,421673,422897,423947,424844,425582,426181,426666
18,601777,588055,582069,566152,560832,585235,584895,598015,597142,604124,586324,575809,568901,570728,570722,575369,579330,586873,574707,566163,569708,586339,581658,587783,588633,591890,586955,580109,566659,559992,540076,534946,522484,512500,500088,482017,464705,448439,442436,432870,419567,400311,402417,405218,408429,411792,414973,418248,421508,424474,427611,430378,432453,434443,435802,436868,437305,437970,438390,438362,437528,436487,435176,433792,432105,430590,429136,427464,425420,423491,421388,419232,416955,414764,412707,410954,409332,408212,407177,406415,405857,405573,405734,406319,407313,408421,409747,411398,413569,415606,417483,419180,420691,422022,423177,424156,424983,425652,426181
19,626198,602618,591807,585495,569759,566346,594830,594316,605884,603863,610128,591398,579167,572067,574614,577538,587285,585535,590744,576282,567290,577155,592297,587639,593684,594454,597632,592617,585691,572162,565415,545419,540209,527667,517603,505112,486962,469569,453224,447141,437495,424112,404777,406803,409524,412655,415938,419040,422236,425415,428301,431359,434046,436042,437952,439231,440218,440575,441160,441500,441393,440479,439358,437968,436503,434736,433142,431608,429856,427733,425724,423541,421305,418949,416678,414541,412708,411007,409807,408692,407850,407213,406849,406930,407435,408350,409378,410624,412196,414287,416244,418041,419658,421089,422341,423416,424316,425063,425652
20,635651,626170,607321,595956,587868,572335,578058,605312,602480,612576,609674,615775,594700,581875,575189,580173,585466,592118,587458,592909,575636,573782,583884,597739,593008,598981,599679,602783,597696,590698,577096,570276,550208,544925,532311,522175,509611,491388,473923,457505,451349,441631,428176,408768,410722,413370,416428,419639,422668,425791,428898,431712,434697,437311,439234,441072,442279,443193,443477,443990,444257,444077,443091,441897,440435,438898,437058,435391,433785,431960,429764,427683,425428,423119,420691,418347,416137,414232,412458,411186,409998,409084,408374,407938,407946,408379,409221,410176,411350,412849,414867,416752,418476,420021,421380,422559,423561,424388,425063
21,650257,635305,632583,612255,599074,590835,584140,590437,614206,610542,618718,615920,619721,596841,584654,580454,587622,590127,593017,588045,588503,581848,581294,589648,603426,598618,604514,605135,608163,602999,595924,582245,575349,555203,549844,537153,526940,514299,495999,478457,461962,455730,445935,432403,412918,414795,417366,420348,423482,426434,429480,432510,435247,438155,440693,442539,444300,445430,446267,446474,446910,447101,446844,445781,444510,442971,441357,439441,437697,436014,434112,431839,429681,427349,424964,422458,420038,417751,415769,413918,412569,411304,410313,409527,409014,408945,409301,410066,410945,412042,413464,415405,417213,418861,420328,421610,422712,423638,424388
22,672028,650621,643386,639224,615714,603119,604671,596519,600267,623820,618115,625991,620480,622716,599431,588669,586266,591595,590999,593757,583508,595721,590338,587670,595938,609632,604739,610550,611086,614029,608780,601620,587856,580874,560644,555200,542424,532125,519400,501015,483388,466808,460491,450610,436993,417424,419216,421702,424599,427647,430514,433476,436421,439073,441896,444349,446110,447786,448830,449582,449705,450056,450161,449819,448671,447316,445691,443992,441991,440162,438394,436407,434050,431806,429389,426919,424328,421823,419451,417384,415448,414015,412665,411589,410717,410119,409965,410236,410916,411710,412722,414059,415915,417638,419201,420583,421780,422797,423638
23,708394,673909,661507,651548,643217,620124,618260,618142,606267,611599,632527,626323,631701,623610,625753,603268,594005,590504,592782,590841,588775,590811,604975,597509,594745,602918,616516,611528,617243,617683,620531,615186,607930,594071,586994,566668,561128,548256,537862,525041,506560,488838,472162,465750,455773,442061,422395,424092,426483,429284,432237,435008,437874,440724,443280,446007,448364,450030,451610,452559,453216,453242,453498,453508,453070,451827,450376,448655,446861,444764,442839,440976,438893,436440,434101,431589,429022,426336,423735,421268,419105,417074,415544,414099,412927,411960,411266,411017,411192,411777,412475,413391,414633,416393,418020,419487,420775,421876,422797
24,736842,711755,687440,671445,655410,647284,634739,632707,628144,616494,620643,641705,632953,635226,626406,629620,607703,597963,591632,591788,586919,596182,600986,612496,604929,602065,610138,623636,618547,624162,624502,627250,621804,614449,600489,593311,572885,567245,554273,543779,530857,512276,494454,477678,471165,461088,447275,427510,429106,431396,434097,436950,439621,442387,445136,447592,450219,452476,454041,455521,456370,456926,456853,457008,456917,456380,455036,453484,451664,449769,447572,445547,443583,441400,438847,436408,433795,431128,428342,425641,423073,420810,418678,417049,415503,414231,413163,412369,412020,412095,412579,413177,413993,415134,416795,418321,419688,420875,421876
25,779198,741177,727842,699874,676101,659365,662435,648469,642999,639200,625221,629785,648419,636172,638292,629535,634033,610365,598620,589181,588548,593948,606563,608758,620164,612494,609526,617496,630890,625698,631209,631445,634089,628540,621081,607017,599736,579206,573463,560387,549789,536764,518080,500153,483274,476657,466477,452560,432691,434184,436371,438967,441717,444284,446946,449592,451944,454467,456621,458082,459459,460204,460657,460479,460531,460337,459696,458248,456593,454669,452670,450370,448241,446174,443887,441230,438687,435971,433201,430311,427506,424835,422468,420233,418499,416850,415474,414303,413406,412952,412924,413304,413799,414511,415548,417105,418529,419792,420875
26,828619,784070,758879,742299,706101,680250,674244,675718,658216,654087,648230,634573,636582,651427,638904,642436,632522,636390,610326,594222,586447,595757,604837,614538,616626,627926,620150,617076,624939,638227,632928,638333,638463,641001,635346,627780,613610,606223,585586,579736,566554,555850,542718,523928,505895,488909,482186,471900,457877,437901,439288,441368,443859,446502,448963,451518,454058,456304,458721,460768,462123,463393,464032,464378,464095,464040,463739,462992,461438,459677,457646,455541,453134,450900,448726,446333,443569,440920,438098,435221,432225,429314,426536,424063,421721,419882,418126,416644,415367,414363,413803,413668,413942,414330,414936,415867,417318,418635,419792
27,865010,833458,802546,774121,749309,710814,695657,686628,684263,668204,662630,657302,641031,639283,653944,642007,645936,634599,636742,604340,592800,593962,606182,612738,622333,624316,635511,627630,624450,632208,645390,639986,645286,645311,647743,641982,634311,620036,612543,591802,585846,572559,561750,548512,529617,511479,494387,487559,477167,463039,442958,444239,446214,448599,451137,453493,455943,458377,460517,462829,464771,466021,467186,467719,467960,467571,467411,467005,466152,464493,462626,460490,458280,455768,453428,451149,448651,445782,443027,440099,437117,434016,430999,428116,425538,423091,421146,419285,417697,416315,415205,414540,414300,414469,414752,415252,416078,417423,418635
28,869634,871629,853201,819944,783404,756052,727577,709491,694690,693946,677576,671234,663290,643403,641855,657178,644515,647713,635013,630071,603690,600518,604263,614649,621092,630574,632445,643527,635532,632240,639885,652954,647437,652624,652536,654855,648982,641198,626809,619204,598350,592281,578881,567959,554609,535600,517349,500145,493204,482699,468458,448264,449432,451294,453567,455991,458234,460572,462893,464920,467119,468948,470085,471137,471558,471686,471184,470911,470392,469426,467654,465675,463426,461103,458478,456024,453632,451022,448040,445172,442131,439037,435822,432693,429697,427006,424446,422388,420414,418713,417218,415996,415218,414865,414921,415090,415478,416191,417423
29,883668,875739,891228,868826,828270,789630,772050,739773,716429,701935,701007,685561,676818,665331,645791,644695,659634,646532,647793,627765,629860,611485,610091,611975,622258,628598,637978,639745,650724,642627,639232,646774,659741,654121,659205,659014,661230,655254,647367,632876,625168,604211,598040,584536,573511,560059,540947,522593,505286,498242,487635,473291,452994,454059,455819,457988,460310,462450,464685,466903,468828,470924,472650,473684,474633,474951,474976,474371,473996,473374,472305,470430,468348,465996,463570,460843,458287,455792,453078,449993,447023,443879,440682,437364,434132,431034,428240,425577,423416,421339,419536,417938,416613,415732,415276,415229,415296,415581,416191
30,900924,890629,895245,908357,877287,834848,806212,785652,746600,723586,708916,708941,690730,678538,667346,648456,646636,661682,646752,640573,628267,637987,620619,617989,619767,629945,636180,645455,647117,657991,649788,646288,653725,666585,660861,665839,665543,667654,661573,653580,638984,631170,610108,603831,590223,579093,565534,546318,527859,510446,503297,492584,478135,457733,458693,460347,462411,464628,466663,468792,470905,472724,474715,476336,477264,478108,478321,478241,477531,477049,476323,475149,473168,470981,468524,465993,463159,460498,457898,455079,451889,448813,445564,442261,438839,435501,432297,429398,426630,424364,422181,420273,418569,417139,416153,415592,415440,415401,415581
31,893166,906049,906781,908177,914972,880861,848598,816391,791110,751830,727308,716312,714079,692273,680181,669475,650448,648958,661651,639502,641388,635933,646403,626967,624252,625946,636039,642189,651379,652957,663746,655459,651874,659226,672002,666193,671087,670706,672732,666566,658489,643808,635910,614763,608402,594709,583494,569851,550550,532006,514509,507275,496478,481944,461457,462332,463902,465881,468013,469964,472008,474036,475771,477677,479213,480057,480817,480944,480780,479985,479419,478608,477349,475284,473012,470470,467855,464937,462191,459506,456602,453328,450168,446834,443446,439939,436517,433228,430244,427392,425041,422774,420781,418993,417478,416407,415761,415524,415401
32,921367,896733,918756,916517,911436,917044,891104,855534,819346,794814,753237,734319,720876,715538,693458,681886,670717,652430,649095,655408,640417,648946,643835,651215,631714,628936,630565,640595,646681,655807,657320,668045,659693,656044,663332,676044,670171,675001,674556,676518,670288,662147,647401,639439,618228,611802,598045,586766,573059,553693,535086,517524,510226,499365,484767,464216,465027,466532,468448,470515,472402,474382,476346,478017,479859,481331,482111,482806,482869,482640,481782,481152,480276,478953,476824,474488,471882,469202,466220,463410,460661,457693,454354,451130,447732,444280,440709,437223,433870,430822,427905,425490,423159,421102,419249,417670,416535,415825,415524
33,907912,926071,909430,928570,920311,913405,927496,897100,858065,822683,795912,759793,738827,722073,716830,694656,683056,672536,652402,643652,656863,647487,656413,648556,655873,636309,633468,635035,645001,651024,660087,661537,672199,663785,660073,667298,679947,674011,678778,678270,680169,673876,665672,650863,642838,621564,615076,601255,589913,576143,556715,538044,520420,513059,502134,487473,466860,467608,469050,470903,472907,474731,476648,478549,480157,481936,483345,484062,484694,484695,484403,483481,482788,481850,480464,478272,475873,473204,470461,467416,464543,461731,458700,455298,452011,448550,445036,441401,437852,434436,431325,428345,425868,423474,421354,419438,417796,416598,415825
34,914821,913686,938166,918845,931974,922453,922752,933969,899375,861703,824202,801901,764214,739783,722978,718039,695415,684894,672541,647011,644714,663770,654308,661056,653137,660392,640767,637863,639368,649272,655234,664235,665623,676223,667747,663973,671136,683723,677725,682430,681860,683697,677342,669076,654206,646119,624783,618233,604351,592947,579115,559624,540892,523206,515783,504796,490073,469398,470084,471465,473255,475198,476959,478815,480654,482200,483917,485264,485919,486489,486428,486074,485091,484336,483335,481888,479634,477173,474442,471637,468530,465595,462721,459629,456165,452816,449293,445717,442020,438409,434932,431759,428717,426177,423721,421539,419562,417858,416598
