age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,523007,535656,542323,558500,551127,556884,560700,570791,562322,553218,537347,534047,512140,499940,482977,469956,455066,431007,414974,404956,400626,393920,382068,363388,361926,361381,361455,361887,362357,363126,364087,364986,366250,367384,368111,368978,369507,370003,370180,370774,371374,371810,371788,371718,371547,371428,371176,371160,371283,371324,371164,371175,371132,371126,371107,371227,371522,372113,372869,374052,375361,376928,378701,380723,383104,385825,388866,392024,395366,398961,402928,406923,410928,414932,418930,422924,426915,430901,434894,438887,442889,446911,450957,455039,459166,463350,467585,471875,476227,480659,485172,489768,494447,499210,504053,508973,513971,519053,524213
1,529233,526577,538020,545596,559067,552870,560028,563021,569963,561694,551720,539163,533916,511448,499707,482975,470412,455746,436785,423269,407634,404252,396272,383526,364924,363539,363072,363224,363734,364281,365128,366167,367144,368485,369698,370503,371447,372054,372627,372882,373554,374232,374746,374801,374809,374716,374675,374500,374562,374763,374882,374800,374888,374923,374995,375053,375252,375624,376292,377127,378387,379774,381419,383269,385369,387828,390626,393746,396982,400401,404074,408118,412191,416274,420356,424432,428504,432572,436636,440706,444777,448857,452957,457080,461241,465445,469707,474020,478387,482817,487327,491918,496592,501348,506189,511110,516107,521184,526343
2,528131,533126,531043,540860,548487,560347,556146,562640,564317,569064,560943,554476,540449,532895,510117,499100,482810,470813,457314,443571,425183,411247,406841,397811,385147,366627,365325,364939,365173,365765,366395,367324,368445,369504,370927,372222,373109,374135,374824,375480,375816,376570,377330,377926,378064,378154,378142,378184,378091,378235,378518,378719,378719,378890,379007,379160,379301,379581,380036,380786,381703,383045,384514,386241,388174,390355,392896,395777,398978,402296,405798,409552,413679,417834,421999,426163,430321,434475,438625,442772,446924,451077,455238,459421,463626,467869,472155,476499,480894,485343,489856,494448,499120,503876,508715,513638,518640,523720,528879
3,518790,530847,537507,535545,543768,550808,563000,559193,564536,565219,568135,563518,556034,539900,531804,508569,498644,482946,471696,464239,444638,428451,413942,408454,399510,386932,368498,367282,366982,367302,367980,368696,369711,370918,372063,373572,374953,375926,377039,377814,378555,378978,379817,380664,381346,381569,381745,381820,381947,381941,382171,382540,382827,382913,383169,383372,383612,383839,384205,384746,385582,386585,388013,389568,391381,393400,395667,398295,401261,404549,407953,411540,415381,419593,423834,428086,432336,436579,440819,445056,449288,453526,457765,462013,466281,470573,474901,479274,483704,488185,492720,497319,501996,506755,511597,516522,521531,526619,531785
4,515957,522484,534064,542329,540131,545782,554754,565127,560899,565563,565624,570533,565065,555647,539174,530684,507352,498240,483769,480475,464753,447374,431424,415650,410253,401400,388913,370571,369445,369237,369648,370417,371224,372330,373629,374864,376465,377936,379000,380204,381070,381903,382417,383347,384285,385058,385373,385639,385805,386024,386108,386429,386890,387267,387445,387792,388086,388417,388735,389193,389824,390752,391845,393365,395011,396915,399025,401383,404102,407159,410538,414033,417712,421643,425947,430279,434622,438963,443297,447629,451956,456280,460609,464939,469278,473637,478020,482439,486903,491424,495996,500622,505312,510081,514931,519864,524879,529979,535159
5,521883,519874,526759,537687,547286,543899,549926,557963,566411,562064,566438,568059,571660,564915,555014,538315,529716,507118,499144,493318,478684,467140,450186,433340,417668,412373,403622,391238,372998,371974,371868,372381,373253,374162,375370,376771,378109,379811,381385,382551,383857,384826,385760,386376,387409,388449,389324,389741,390110,390378,390699,390885,391309,391871,392351,392631,393080,393477,393910,394330,394889,395623,396653,397849,399471,401218,403225,405437,407898,410718,413878,417359,420956,424737,428771,433177,437611,442056,446499,450936,455369,459799,464225,468656,473088,477529,481991,486476,490997,495563,500186,504861,509589,514381,519252,524204,529240,534357,539559
6,521774,525434,524440,531761,541502,551380,549632,553286,560048,566952,563169,568569,569197,571217,564416,554223,537576,529609,507291,501031,490819,481317,469845,452214,435476,419912,414725,406083,393806,375675,374759,374761,375383,376363,377380,378696,380205,381651,383462,385144,386418,387832,388909,389952,390676,391817,392964,393948,394473,394950,395327,395755,396050,396582,397252,397840,398228,398786,399290,399831,400360,401028,401870,403008,404311,406042,407897,410012,412332,414901,417830,421098,424687,428392,432282,436423,440937,445480,450033,454584,459129,463670,468208,472742,477282,481822,486371,490941,495534,500164,504838,509569,514352,519189,524088,529068,534128,539272,544497
7,524929,525094,529430,529267,536730,544564,557571,554779,555487,561735,567808,564994,569486,568782,570307,563484,553502,537809,529473,510437,505591,493151,483931,471931,454411,437784,422332,417256,408725,396560,378539,377735,377849,378581,379672,380801,382228,383848,385406,387328,389121,390507,392032,393220,394374,395209,396462,397721,398815,399452,400040,400528,401068,401474,402116,402899,403598,404097,404766,405382,406034,406673,407452,408406,409655,411070,412911,414878,417104,419536,422216,425256,428635,432335,436152,440153,444406,449031,453685,458349,463011,467668,472320,476970,481615,486266,490917,495578,500259,504963,509704,514489,519332,524225,529174,534185,539275,544447,549702
8,539637,528714,528612,533557,534646,540875,549836,562743,558705,557192,563165,569721,565785,569129,568376,569449,562718,553691,537902,532059,512964,507730,495763,486161,474279,456879,440371,425037,420081,411669,399623,381721,381036,381268,382120,383330,384577,386123,387862,389539,391580,393492,394996,396641,397947,399220,400175,401546,402924,404138,404893,405600,406207,406866,407391,408152,409053,409871,410489,411277,412012,412783,413542,414440,415512,416880,418414,420375,422460,424805,427356,430155,433314,436812,440631,444567,448686,453058,457802,462575,467358,472139,476915,481686,486455,491219,495988,500759,505538,510338,515161,520021,524926,529887,534900,539967,545097,550306,555597
9,562660,543267,532760,532755,538376,538956,546981,554495,567192,562052,558982,565189,570842,565607,568836,567734,568873,563046,554146,541495,535259,515109,510343,498230,488759,477010,459740,443364,428162,423338,415057,403142,385372,384818,385182,386165,387507,388886,390564,392435,394242,396415,398459,400095,401871,403309,404714,405799,407302,408812,410157,411044,411883,412621,413412,414068,414961,415994,416943,417693,418613,419479,420382,421271,422301,423505,425005,426670,428762,430980,433456,436138,439069,442359,445989,449940,454007,458258,462762,467637,472541,477456,482369,487276,492179,497079,501975,506876,511778,516689,521621,526575,531567,536603,541696,546840,552039,557300,562641
