age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,523007,535656,542323,558500,551127,556884,560700,570791,562322,553218,537347,534047,512140,499940,482977,469956,455066,431007,414974,404956,400626,393920,382068,363388,357100,351744,346996,342586,338200,334076,330106,326054,322300,318400,314122,309942,305459,300936,296144,291675,287196,282576,277602,272522,267306,262069,256682,251408,246175,240836,235322,229877,224362,218835,213271,207761,202324,197023,191781,186729,181703,176769,171894,167093,162411,157828,153325,148808,144305,139838,135446,131029,126579,122093,117570,113010,108413,103781,99115,94415,89684,84923,80133,75317,70475,65609,60716,55798,50855,45887,40894,35876,30833,25763,20667,15543,10390,5210,0
1,529233,526577,538020,545596,559067,552870,560028,563021,569963,561694,551720,539163,533916,511448,499707,482975,470412,455746,436785,423269,407634,404252,396272,383526,364924,358714,353435,348765,344433,340124,336078,332186,328212,324535,320713,316513,312410,308006,303560,298846,294455,290053,285511,280615,275613,270475,265315,260007,254810,249655,244393,238957,233590,228152,222703,217217,211785,206426,201203,196038,191064,186116,181260,176462,171740,167135,162629,158204,153766,149340,144951,140637,136297,131925,127517,123071,118589,114070,109516,104928,100306,95652,90969,86257,81519,76755,71966,67151,62311,57445,52555,47640,42700,37734,32742,27723,22677,17603,12500
2,528131,533126,531043,540860,548487,560347,556146,562640,564317,569064,560943,554476,540449,532895,510117,499100,482810,470813,457314,443571,425183,411247,406841,397811,385147,366627,360499,355302,350715,346465,342238,338274,334464,330572,326977,323237,319119,315099,310776,306412,301780,297471,293152,288692,283877,278958,273902,268824,263598,258483,253410,248230,242877,237592,232236,226869,221465,216115,210838,205697,200614,195722,190856,186082,181367,176726,172203,167780,163437,159080,154737,150430,146198,141940,137650,133324,128960,124560,120124,115651,111145,106605,102033,97433,92803,88147,83465,78758,74025,69267,64483,59675,54842,49984,45101,40191,35254,30290,25298
3,518790,530847,537507,535545,543768,550808,563000,559193,564536,565219,568135,563518,556034,539900,531804,508569,498644,482946,471696,464239,444638,428451,413942,408454,399510,386932,368498,362456,357345,352844,348680,344539,340661,336937,333131,329622,325968,321936,318002,313766,309488,304942,300719,296485,292111,287383,282550,277579,272588,267447,262419,257432,252338,247070,241872,236602,231321,226002,220739,215548,210493,205496,200690,195910,191222,186593,182038,177602,173264,169007,164737,160479,156258,152112,147940,143737,139497,135219,130905,126554,122168,117748,113294,108808,104293,99749,95179,90583,85963,81316,76644,71946,67224,62477,57705,52908,48084,43233,38355
4,515957,522484,534064,542329,540131,545782,554754,565127,560899,565563,565624,570533,565065,555647,539174,530684,507352,498240,483769,480475,464753,447374,431424,415650,410253,401400,388913,370571,364619,359600,355190,351117,347067,343280,339647,335932,332515,328952,325011,321167,317022,312836,308381,304249,300106,295823,291186,286444,281565,276664,271615,266677,261781,256779,251602,246495,241316,236126,230899,225726,220626,215662,210757,206042,201353,196756,192218,187754,183409,179162,174996,170817,166651,162521,158466,154385,150273,146124,141937,137714,133454,129159,124830,120467,116073,111649,107196,102717,98212,93683,89127,84546,79939,75308,70653,65972,61265,56533,51773
5,521883,519874,526759,537687,547286,543899,549926,557963,566411,562064,566438,568059,571660,564915,555014,538315,529716,507118,499144,493318,478684,467140,450186,433340,417668,412373,403622,391238,372998,367149,362231,357923,353952,350005,346320,342789,339177,335861,332400,328562,324821,320778,316693,312340,308311,304271,300090,295555,290915,286137,281339,276392,271557,266763,261863,256788,251783,246706,241619,236493,231423,226425,221563,216760,212148,207561,203066,198630,194269,190025,185881,181817,177740,173676,169648,165695,161717,157707,153660,149575,145455,141297,137104,132878,128617,124324,120003,115652,111275,106873,102445,97992,93513,89008,84480,79926,75347,70743,66113
6,521774,525434,524440,531761,541502,551380,549632,553286,560048,566952,563169,568569,569197,571217,564416,554223,537576,529609,507291,501031,490819,481317,469845,452214,435476,419912,414725,406083,393806,375675,369934,365125,360925,357062,353222,349646,346223,342719,339512,336159,332428,328796,324861,320884,316640,312718,308786,304713,300287,295755,291086,286396,281557,276830,272144,267352,262386,257488,252520,247540,242523,237561,232671,227918,223223,218718,214240,209853,205525,201272,197137,193101,189145,185176,181220,177301,173456,169586,165684,161745,157769,153756,149707,145622,141503,137351,133166,128953,124711,120442,116147,111828,107483,103112,98716,94295,89850,85379,80883
7,524929,525094,529430,529267,536730,544564,557571,554779,555487,561735,567808,564994,569486,568782,570307,563484,553502,537809,529473,510437,505591,493151,483931,471931,454411,437784,422332,417256,408725,396560,378539,372910,368212,364123,360372,356643,353178,349867,346474,343378,340136,336517,332995,329172,325307,321173,317363,313542,309581,305265,300845,296287,291708,286980,282364,277790,273109,268254,263468,258611,253743,248837,243986,239207,234565,229981,225588,221221,216946,212729,208587,204563,200638,196794,192936,189091,185283,181549,177791,174000,170172,166307,162406,158468,154494,150487,146446,142373,138270,134139,129982,125799,121591,117357,113097,108812,104503,100168,95809
8,539637,528714,528612,533557,534646,540875,549836,562743,558705,557192,563165,569721,565785,569129,568376,569449,562718,553691,537902,532059,512964,507730,495763,486161,474279,456879,440371,425037,420081,411669,399623,381721,376210,371631,367661,364029,360420,357073,353881,350607,347630,344507,341007,337604,333899,330153,326139,322448,318746,314903,310706,306405,301966,297506,292897,288400,283945,279383,274647,269980,265241,260492,255705,250973,246314,241790,237325,233051,228803,224646,220549,216526,212621,208815,205089,201351,197625,193935,190321,186681,183009,179300,175554,171772,167953,164098,160210,156287,152333,148350,144338,140299,136235,132146,128031,123890,119724,115534,111318
9,562660,543267,532760,532755,538376,538956,546981,554495,567192,562052,558982,565189,570842,565607,568836,567734,568873,563046,554146,541495,535259,515109,510343,498230,488759,477010,459740,443364,428162,423338,415057,403142,385372,379993,375546,371707,368206,364729,361514,358453,355310,352465,349474,346105,342834,339261,335646,331763,328204,324634,320922,316858,312687,308380,304052,299574,295209,290885,286455,281850,277315,272708,268091,263435,258835,254307,249915,245582,241439,237323,233297,229331,225440,221666,217992,214398,210791,207197,203639,200156,196648,193107,189530,185916,182265,178577,174854,171097,167307,163484,159632,155752,151845,147912,143955,139971,135962,131928,127869
10,566374,565920,547054,537956,537418,542326,545130,552693,558196,571096,564793,561023,565982,570929,565198,568351,567324,569271,562764,557192,544309,537368,517693,512878,500900,491564,479950,462816,446575,431509,426819,418673,406894,389259,384015,379703,376000,372634,369292,366212,363286,360279,357569,354713,351479,348343,344906,341426,337678,334254,330819,327243,323313,319278,315106,310913,306571,302341,298152,293857,289388,284988,280516,276034,271514,267048,262655,258399,254201,250193,246212,242322,238491,234735,231097,227558,224099,220627,217168,213745,210397,207024,203619,200177,196698,193182,189630,186042,182420,178765,175078,171361,167616,163844,160046,156224,152376,148502,144603
11,571769,568684,569499,551622,542931,541177,547924,551007,557461,561199,574185,566859,561945,566055,570683,564759,568083,567812,569337,566257,560013,546219,539820,520186,515503,503659,494456,482975,465974,449866,434932,430376,422363,410717,393214,388104,383924,380354,377121,373912,370965,368173,365298,362721,359998,356897,353895,350590,347243,343628,340337,337035,333592,329795,325893,321854,317794,313585,309488,305432,301270,296933,292666,288327,283978,279591,275259,270999,266875,262810,258936,255087,251330,247632,244009,240504,237097,233772,230433,227107,223817,220602,217362,214090,210781,207434,204052,200632,197177,193689,190166,186612,183028,179416,175777,172112,168423,164708,160967
12,562281,573863,571180,573595,556540,547135,546663,553371,555780,561491,563954,576443,567704,562246,566021,570232,564478,568576,568025,573063,568876,561956,548709,542291,522788,518238,506525,497454,486105,469236,453260,438458,434033,426152,414637,397267,392288,388240,384802,381701,378623,375808,373148,370405,367959,365368,362399,359528,356355,353141,349658,346498,343328,340017,336352,332581,328674,324746,320668,316703,312779,308749,304544,300408,296202,291984,287729,283528,279400,275408,271475,267732,264016,260390,256824,253333,249959,246685,243491,240284,237089,233932,230848,227740,224600,221423,218208,214957,211670,208346,204990,201599,198176,194724,191244,187737,184204,180646,177063
13,565951,564359,576103,574651,578284,560460,553021,551938,557633,559950,564733,566121,577668,567956,562296,565648,570184,565035,569063,572003,575758,570894,564423,551189,544903,525533,521115,509534,500596,489379,472642,456798,442128,437835,430087,418704,401466,396619,392704,389398,386430,383484,380801,378273,375663,373349,370891,368054,365315,362274,359192,355841,352814,349776,346597,343064,339426,335651,331855,327910,324077,320285,316387,312315,308311,304237,300151,296028,291960,287964,284105,280304,276693,273109,269616,266182,262823,259582,256440,253378,250303,247241,244215,241264,238288,235280,232235,229153,226034,222879,219688,216464,213205,209915,206595,203247,199872,196472,193046
14,544761,568358,566610,578992,578169,582015,566019,558684,556355,561392,563250,566488,567354,578507,568077,562006,565934,571168,565871,573180,574688,577971,573577,566914,553812,547659,528422,524137,512689,503884,492800,476195,460484,445948,441788,434172,422922,405817,401103,397321,394148,391312,388499,385949,383554,381076,378896,376570,373866,371260,368352,365403,362185,359290,356385,353339,349939,346434,342792,339129,335316,331616,327957,324192,320253,316382,312440,308488,304498,300562,296699,292973,289304,285827,282375,279015,275714,272488,269380,266370,263442,260499,257570,254677,251859,249016,246141,243229,240280,237294,234271,231213,228122,224996,221838,218652,215436,212194,208927
