age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,566374,565920,547054,537956,537418,542326,545130,552693,558196,571096,564793,561023,565982,570929,565198,568351,567324,569271,562764,557192,544309,537368,517693,512878,500731,491062,478966,461210,444213,428262,422575,413324,400336,381396,374846,369029,363628,358380,352982,347680,342377,336845,331475,325832,319696,313553,307013,300348,293340,286593,279783,272793,265424,257938,250313,242676,234908,227280,219729,212116,204380,196771,189155,181600,174083,166700,159474,152472,145620,139056,132617,126375,120300,114412,108758,103323,98091,92973,87997,83189,78592,74106,69729,65459,61297,57247,53312,49494,45796,42219,38767,35442,32246,29181,26248,23446,20775,18234,15822
11,571769,568684,569499,551622,542931,541177,547924,551007,557461,561199,574185,566859,561945,566055,570683,564759,568083,567812,569337,566257,560013,546219,539820,520186,515337,503157,493455,481326,463537,446507,430523,424802,415517,402496,383523,376940,371090,365655,360375,354943,349608,344272,338707,333303,327627,321457,315281,308708,302010,294969,288188,281345,274322,266920,259400,251742,244072,236271,228610,221026,213380,205610,197968,190319,182730,175180,167764,160504,153469,146584,139986,133515,127239,121131,115210,109523,104054,98790,93638,88628,83787,79157,74638,70227,65924,61729,57646,53678,49826,46095,42485,39000,35642,32413,29314,26347,23513,20808,18234
12,562281,573863,571180,573595,556540,547135,546663,553371,555780,561491,563954,576443,567704,562246,566021,570232,564478,568576,568025,573063,568876,561956,548709,542291,522624,517742,505529,495795,483632,465810,448747,432730,426976,417659,404605,385599,378983,373099,367632,362319,356854,351486,346117,340519,335082,329373,323171,316961,310356,303624,296550,289737,282860,275805,268369,260817,253126,245423,237589,229895,222278,214599,206796,199121,191439,183817,176234,168785,161492,154424,147506,140876,134371,128063,121921,115967,110247,104746,99448,94264,89221,84348,79684,75132,70689,66352,62124,58009,54007,50123,46359,42716,39197,35807,32544,29413,26413,23546,20808
13,565951,564359,576103,574651,578284,560460,553021,551938,557633,559950,564733,566121,577668,567956,562296,565648,570184,565035,569063,572003,575758,570894,564423,551189,544737,525037,520123,507877,498109,485913,468059,450962,434912,429126,419775,406688,387649,381000,375083,369583,364236,358738,353338,347935,342305,336835,331093,324857,318615,311976,305211,298105,291258,284348,277260,269791,262206,254482,246746,238879,231151,223501,215789,207954,200245,192530,184876,177259,169777,162451,155350,148399,141736,135198,128856,122682,116695,110942,105408,100077,94859,89783,84877,80180,75595,71119,66749,62488,58339,54305,50387,46590,42914,39363,35939,32644,29479,26446,23546
14,544761,568358,566610,578992,578169,582015,566019,558684,556355,561392,563250,566488,567354,578507,568077,562006,565934,571168,565871,573180,574688,577971,573577,566914,553646,547162,527429,522481,510202,500401,488172,470284,453155,437071,431251,421868,408748,389675,382993,377043,371509,366130,360598,355164,349729,344065,338562,332787,326518,320242,313570,306772,299632,292752,285810,278688,271186,263568,255810,248041,240141,232380,224697,216951,209083,201341,193593,185905,178255,170740,163381,156247,149263,142566,135995,129620,123413,117392,111606,106039,100675,95423,90315,85375,80645,76027,71517,67114,62820,58638,54571,50620,46790,43080,39496,36039,32710,29512,26446
15,559012,547025,570882,569709,582731,581012,587212,571616,563539,560238,564605,565211,567577,568252,579057,567907,562182,566861,572210,570115,575894,576880,580898,576112,569415,556114,549596,529829,524847,512534,502699,490437,472515,455352,439234,433381,423963,410809,391703,384987,379003,373436,368022,362457,356990,351520,345822,340286,334477,328174,321865,315159,308327,301153,294239,287263,280108,272572,264920,257129,249325,241391,233597,225880,218101,210198,202423,194641,186919,179236,171687,164294,157126,150108,143377,136772,130364,124123,118068,112248,106647,101249,95964,90822,85848,81084,76433,71889,67452,63124,58909,54807,50823,46959,43216,39597,36106,32744,29512
16,578356,559983,549909,574567,573866,585817,585422,592699,576646,567923,563391,566829,566463,568447,569082,579513,568641,563617,568006,574780,572808,578392,580241,583611,578788,572055,558718,552164,532361,527343,514994,505123,492824,474866,457667,441513,435623,426170,412980,393837,387085,381065,375462,370012,364411,358907,353401,347667,342094,336249,329910,323565,316823,309955,302745,295795,288782,281591,274019,266330,258503,250664,242693,234863,227110,219294,211356,203544,195726,187968,180248,172663,165234,158030,150976,144209,137568,131123,124846,118756,112899,107262,101828,96507,91328,86318,81518,76830,72251,67778,63414,59162,55024,51004,47103,43324,39669,36142,32744
17,586101,579525,561513,554212,579441,577712,590672,590575,597942,581230,571802,566265,568311,567946,569765,570420,581989,570790,565389,569673,580417,576342,582548,583468,586794,581929,575153,561773,555176,535330,530269,517877,507963,495621,477620,460377,444181,438248,428751,415518,396333,389538,383475,377828,372335,366691,361144,355596,349819,344202,338315,331933,325544,318759,311848,304595,297602,290547,283312,275697,267965,260095,252213,244199,236326,228530,220671,212690,204835,196974,189173,181410,173782,166310,159063,151966,145156,138472,131984,125663,119530,113631,107950,102473,97109,91887,86835,81992,77261,72638,68122,63715,59420,55240,51176,47232,43410,39712,36142
18,601777,588055,582069,566152,560832,585235,584895,598015,597142,604124,586324,575809,568901,570728,570722,575369,579330,586873,574707,566163,569708,586339,581658,587783,588633,591890,586955,580109,566659,559992,540076,534946,522484,512500,500088,482017,464705,448439,442436,432870,419567,400311,393447,387314,381597,376035,370321,364704,359086,353239,347553,341595,335143,328685,321830,314849,307527,300464,293339,286034,278349,270548,262608,254656,246573,238629,230763,222835,214784,206859,198928,191058,183225,175527,167985,160668,153501,146621,139868,133310,126920,120717,114748,108997,103451,98017,92725,87602,82690,77889,73196,68611,64134,59769,55519,51385,47372,43480,39712
19,626198,602618,591807,585495,569759,566346,594830,594316,605884,603863,610128,591398,579167,572067,574614,577538,587285,585535,590744,576282,567290,577155,592297,587639,593684,594454,597632,592617,585691,572162,565415,545419,540209,527667,517603,505112,486962,469569,453224,447141,437495,424112,404777,397833,391620,385824,380182,374388,368691,362993,357067,351301,345264,338732,332194,325259,318199,310796,303654,296449,289064,281300,273419,265399,257367,249204,241181,233235,225227,217096,209092,201081,193131,185219,177441,169819,162423,155176,148216,141383,134746,128276,121993,115944,110114,104487,98974,93602,88400,83407,78527,73755,69089,64533,60088,55758,51545,47452,43480
