age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,523007,535656,542323,558500,551127,556884,560700,570791,562322,553218,537347,534047,512140,499940,482977,469956,455066,431007,414974,404956,400626,393920,382068,363388,366071,369658,373874,378465,383107,388078,393276,398427,404001,409460,414486,419688,424522,429329,433774,438716,443680,448459,452690,456963,461214,465634,469991,474759,479822,484901,489844,495137,500490,506026,511682,517670,524043,530980,538313,546419,554887,563914,573435,583528,594369,605946,618252,630998,644297,658264,673103,688172,703450,718923,734589,750462,766550,782858,799416,816224,833305,850694,868405,886480,904949,923854,943198,963005,983311,1004170,1025597,1047608,1070211,1093423,1117244,1141679,1166743,1192458,1218828
1,529233,526577,538020,545596,559067,552870,560028,563021,569963,561694,551720,539163,533916,511448,499707,482975,470412,455746,436785,423269,407634,404252,396272,383526,364924,367684,371349,375643,380312,385031,390081,395356,400585,406236,411773,416877,422157,427069,431953,436476,441496,446537,451394,455703,460054,464383,468880,473316,478161,483302,488459,493479,498850,504281,509894,515629,521694,528145,535159,542570,550754,559300,568404,578004,588174,599093,610748,623131,635955,649332,663377,678294,693440,708796,724346,740091,756042,772207,788593,805229,822114,839274,856739,874528,892682,911228,930211,949633,969518,989901,1010838,1032343,1054432,1077112,1100402,1124301,1148814,1173956,1199748
2,528131,533126,531043,540860,548487,560347,556146,562640,564317,569064,560943,554476,540449,532895,510117,499100,482810,470813,457314,443571,425183,411247,406841,397811,385147,366627,369470,373217,377592,382344,387145,392276,397634,402945,408678,414297,419484,424845,429839,434806,439410,444512,449636,454575,458966,463399,467810,472389,476907,481834,487057,492296,497399,502851,508364,514060,519876,526024,532557,539653,547146,555412,564040,573226,582908,593160,604161,615898,628364,641270,654729,668856,683855,699083,714521,730154,745980,762013,778260,794729,811447,828414,845655,863203,881074,899309,917939,937003,956507,976474,996939,1017958,1039545,1061716,1084479,1107851,1131832,1156427,1181651
3,518790,530847,537507,535545,543768,550808,563000,559193,564536,565219,568135,563518,556034,539900,531804,508569,498644,482946,471696,464239,444638,428451,413942,408454,399510,386932,368498,371427,375260,379721,384559,389446,394664,400107,405504,411324,417029,422301,427749,432828,437881,442572,447760,452969,457995,462472,466991,471487,476153,480756,485769,491079,496404,501592,507131,512730,518512,524414,530647,537267,544449,552028,560380,569094,578367,588134,598472,609559,621383,633934,646926,660471,674684,689769,705084,720607,736326,752239,768357,784691,801245,818049,835103,852430,870064,888021,906342,925057,944208,963798,983851,1004402,1025507,1047180,1069437,1092286,1115744,1139811,1164492
4,515957,522484,534064,542329,540131,545782,554754,565127,560899,565563,565624,570533,565065,555647,539174,530684,507352,498240,483769,480475,464753,447374,431424,415650,410253,401400,388913,370571,373590,377515,382067,386996,391974,397283,402817,408305,414216,420012,425375,430914,436085,441229,446010,451290,456590,461707,466275,470885,475473,480229,484924,490028,495429,500845,506124,511754,517444,523317,529310,535635,542345,549619,557289,565732,574537,583900,593759,604188,615367,627281,639924,653007,666642,680947,696123,711528,727143,742953,758957,775167,791591,808237,825132,842276,859695,877420,895468,913880,932686,951928,971609,991753,1012395,1033592,1055356,1077704,1100644,1124193,1148351
5,521883,519874,526759,537687,547286,543899,549926,557963,566411,562064,566438,568059,571660,564915,555014,538315,529716,507118,499144,493318,478684,467140,450186,433340,417668,412373,403622,391238,372998,376119,380146,384800,389831,394912,400323,405959,411549,417562,423461,428926,434567,439840,445086,449970,455352,460754,465973,470643,475356,480045,484904,489701,494908,500410,505929,511310,517042,522835,528810,534905,541332,548144,555520,563292,571837,580745,590210,600171,610703,621983,634000,646745,659930,673668,688075,703352,718860,734577,750489,766595,782907,799434,816182,833179,850426,867946,885773,903924,922438,941347,960691,980474,1000720,1021464,1042763,1064629,1087079,1110122,1133773
6,521774,525434,524440,531761,541502,551380,549632,553286,560048,566952,563169,568569,569197,571217,564416,554223,537576,529609,507291,501031,490819,481317,469845,452214,435476,419912,414725,406083,393806,375675,378904,383039,387802,392941,398130,403649,409394,415092,421213,427219,432793,438542,443923,449278,454270,459759,465270,470597,475375,480196,484994,489961,494866,500180,505791,511418,516908,522747,528648,534731,540935,547470,554391,561875,569755,578408,587424,596998,607066,617706,629095,641219,654072,667366,681212,695727,711113,726729,742554,758574,774788,791209,807843,824699,841805,859160,876788,894724,912982,931605,950621,970074,989965,1010319,1031172,1052578,1074553,1097111,1120262
7,524929,525094,529430,529267,536730,544564,557571,554779,555487,561735,567808,564994,569486,568782,570307,563484,553502,537809,529473,510437,505591,493151,483931,471931,454411,437784,422332,417256,408725,396560,378539,381880,386126,391000,396251,401551,407181,413037,418846,425079,431197,436882,442742,448234,453700,458803,464404,470026,475464,480354,485286,490195,495273,500289,505715,511437,517175,522776,528727,534739,540934,547249,553895,560927,568522,576513,585278,594405,604090,614270,625021,636521,648757,661721,675126,689083,703709,719207,734934,750870,767002,783327,799858,816604,833572,850788,868255,885994,904041,922411,941145,960273,979836,999839,1020304,1041268,1062786,1084872,1107541
8,539637,528714,528612,533557,534646,540875,549836,562743,558705,557192,563165,569721,565785,569129,568376,569449,562718,553691,537902,532059,512964,507730,495763,486161,474279,456879,440371,425037,420081,411669,399623,381721,385181,389546,394539,399908,405327,411076,417051,422979,429331,435567,441371,447351,452962,458546,463769,469488,475229,480786,485795,490846,495874,501071,506206,511751,517592,523449,529169,535239,541370,547683,554117,560882,568033,575747,583857,592741,601987,611791,622090,632960,644579,656934,670017,683540,697617,712362,727978,743824,759880,776130,792574,809224,826089,843175,860511,878096,895955,914121,932609,951462,970709,990391,1010513,1031098,1052180,1073817,1096022
9,562660,543267,532760,532755,538376,538956,546981,554495,567192,562052,558982,565189,570842,565607,568836,567734,568873,563046,554146,541495,535259,515109,510343,498230,488759,477010,459740,443364,428162,423338,415057,403142,385372,388964,393460,398584,404085,409636,415517,421623,427683,434166,440534,446470,452581,458324,464040,469393,475245,481117,486806,491946,497128,502288,507617,512884,518560,524532,530521,536373,542574,548837,555282,561847,568744,576026,583872,592114,601129,610506,620442,630873,641874,653624,666111,679325,692981,707189,722065,737813,753791,769978,786360,802936,819717,836714,853932,871399,889116,907106,925403,944023,963008,982386,1002200,1022453,1043169,1064384,1086152
