age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
61,3829,4175,3782,3698,3492,3464,3481,3532,3495,3483,3579,3382,3314,3645,3248,3472,3342,3222,4182,3941,3732,3269
62,4147,4474,4045,4101,3799,3824,3809,3857,3689,3815,3879,3778,3632,4021,3531,3784,3634,3559,4649,4313,4068,3593
63,4436,4803,4334,4413,4262,4155,4218,4254,3947,3987,4284,4079,4003,4364,3888,4102,3938,3844,5115,4741,4476,3956
64,4866,5084,4613,4731,4608,4691,4599,4697,4347,4319,4467,4499,4338,4830,4276,4510,4305,4193,5567,5168,4962,4320
65,5389,5512,4908,5128,4970,5085,5195,5076,4846,4717,4805,4709,4798,5225,4768,4939,4735,4523,6092,5617,5477,4782
66,5975,6064,5346,5446,5355,5451,5582,5620,5275,5275,5258,5070,5008,5731,5235,5445,5147,4992,6581,6108,5920,5258
67,6543,6732,5942,5922,5679,5845,5956,6046,5869,5738,5846,5484,5391,5983,5758,5906,5666,5455,7188,6704,6399,5707
68,7090,7395,6614,6518,6114,6153,6389,6490,6321,6408,6324,6109,5863,6410,5924,6510,6103,6033,7862,7378,6921,6163
69,7781,8099,7237,7261,6672,6689,6828,6993,6773,6883,7072,6620,6504,6909,6306,6880,6742,6534,8713,8016,7672,6724
70,8505,8931,7855,8004,7436,7374,7360,7443,7355,7393,7587,7509,7084,7712,6860,7431,7065,7226,9535,8815,8445,7431
71,9241,9706,8582,8747,8217,8202,8127,8088,7807,7910,8206,8098,7970,8457,7678,8106,7603,7555,10638,9566,9360,8198
72,10111,10527,9309,9610,8993,9030,9057,8969,8506,8408,8874,8662,8538,9590,8515,9028,8306,8171,11149,10520,10175,9076
73,10963,11664,10102,10438,9913,9874,9970,9999,9382,9138,9469,9275,9131,10374,9634,9878,9250,8964,11948,10997,11083,9836
74,11905,12667,11080,11272,10806,10942,10971,10898,10463,10105,10369,9828,9831,11215,10391,11196,10168,10030,13007,11824,11913,10787
75,12937,13764,11955,12327,11676,11975,12182,11957,11503,11268,11479,10681,10477,12012,11166,12182,11567,10899,14473,12911,13135,11461
76,13979,14960,12966,13416,12803,12934,13194,13241,12583,12455,12705,11822,11392,12828,11954,13188,12498,12320,15827,14412,14480,12465
77,14932,15998,14070,14540,13869,14138,14271,14442,13876,13707,14053,13192,12673,13994,12637,14117,13498,13430,17834,15787,16146,13674
78,16097,17042,15131,15765,14996,15337,15757,15590,15174,15244,15426,14628,14163,15574,13818,14947,14530,14559,19366,17680,17404,15187
79,17190,18579,16186,16934,16217,16558,17003,17004,16526,16603,17093,16099,15575,17257,15252,16258,15486,15822,20728,18915,19249,16541
