age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
10,566374,565920,547054,537956,537418,542326,545130,552693,558196,571096,564793,561023,565982,570929,565198,568351,567324,569271,562764,557192,544309,537368,517693,512878,500765,491163,479163,461532,444686,428912,423424,414394,401648,382968,376680,371164,366102,361231,356244,351386,346559,341532,336694,331608,326052,320511,314591,308563,302208,296125,289990,283683,277002,270206,263272,256323,249241,242292,235414,228465,221382,214414,207428,200487,193569,186770,180110,173657,167336,161283,155336,149564,143938,138476,133226,128170,123293,118504,113831,109300,104953,100690,96507,92402,88377,84434,80576,76804,73121,69529,66029,62626,59320,56114,53007,50002,47095,44288,41578
11,571769,568684,569499,551622,542931,541177,547924,551007,557461,561199,574185,566859,561945,566055,570683,564759,568083,567812,569337,566257,560013,546219,539820,520186,515371,503258,493656,481656,464025,447179,431405,425917,416887,404141,385461,379173,373657,368595,363724,358737,353879,349052,344025,339187,334101,328545,323004,317084,311056,304701,298618,292483,286176,279495,272699,265765,258816,251734,244785,237907,230958,223875,216907,209921,202980,196062,189263,182603,176150,169829,163776,157829,152057,146431,140969,135719,130663,125786,120997,116324,111793,107446,103183,99000,94895,90870,86927,83069,79297,75614,72022,68522,65119,61813,58607,55500,52495,49588,46781
12,562281,573863,571180,573595,556540,547135,546663,553371,555780,561491,563954,576443,567704,562246,566021,570232,564478,568576,568025,573063,568876,561956,548709,542291,522657,517842,505729,496127,484127,466496,449650,433876,428388,419358,406612,387932,381644,376128,371066,366195,361208,356350,351523,346496,341658,336572,331016,325475,319555,313527,307172,301089,294954,288647,281966,275170,268236,261287,254205,247256,240378,233429,226346,219378,212392,205451,198533,191734,185074,178621,172300,166247,160300,154528,148902,143440,138190,133134,128257,123468,118795,114264,109917,105654,101471,97366,93341,89398,85540,81768,78085,74493,70993,67590,64284,61078,57971,54966,52059
13,565951,564359,576103,574651,578284,560460,553021,551938,557633,559950,564733,566121,577668,567956,562296,565648,570184,565035,569063,572003,575758,570894,564423,551189,544771,525137,520322,508209,498607,486607,468976,452130,436356,430868,421838,409092,390412,384124,378608,373546,368675,363688,358830,354003,348976,344138,339052,333496,327955,322035,316007,309652,303569,297434,291127,284446,277650,270716,263767,256685,249736,242858,235909,228826,221858,214872,207931,201013,194214,187554,181101,174780,168727,162780,157008,151382,145920,140670,135614,130737,125948,121275,116744,112397,108134,103951,99846,95821,91878,88020,84248,80565,76973,73473,70070,66764,63558,60451,57446
14,544761,568358,566610,578992,578169,582015,566019,558684,556355,561392,563250,566488,567354,578507,568077,562006,565934,571168,565871,573180,574688,577971,573577,566914,553680,547262,527628,522813,510700,501098,489098,471467,454621,438847,433359,424329,411583,392903,386615,381099,376037,371166,366179,361321,356494,351467,346629,341543,335987,330446,324526,318498,312143,306060,299925,293618,286937,280141,273207,266258,259176,252227,245349,238400,231317,224349,217363,210422,203504,196705,190045,183592,177271,171218,165271,159499,153873,148411,143161,138105,133228,128439,123766,119235,114888,110625,106442,102337,98312,94369,90511,86739,83056,79464,75964,72561,69255,66049,62942
15,559012,547025,570882,569709,582731,581012,587212,571616,563539,560238,564605,565211,567577,568252,579057,567907,562182,566861,572210,570115,575894,576880,580898,576112,569449,556215,549797,530163,525348,513235,503633,491633,474002,457156,441382,435894,426864,414118,395438,389150,383634,378572,373701,368714,363856,359029,354002,349164,344078,338522,332981,327061,321033,314678,308595,302460,296153,289472,282676,275742,268793,261711,254762,247884,240935,233852,226884,219898,212957,206039,199240,192580,186127,179806,173753,167806,162034,156408,150946,145696,140640,135763,130974,126301,121770,117423,113160,108977,104872,100847,96904,93046,89274,85591,81999,78499,75096,71790,68584
16,578356,559983,549909,574567,573866,585817,585422,592699,576646,567923,563391,566829,566463,568447,569082,579513,568641,563617,568006,574780,572808,578392,580241,583611,578825,572162,558928,552510,532876,528061,515948,506346,494346,476715,459869,444095,438607,429577,416831,398151,391863,386347,381285,376414,371427,366569,361742,356715,351877,346791,341235,335694,329774,323746,317391,311308,305173,298866,292185,285389,278455,271506,264424,257475,250597,243648,236565,229597,222611,215670,208752,201953,195293,188840,182519,176466,170519,164747,159121,153659,148409,143353,138476,133687,129014,124483,120136,115873,111690,107585,103560,99617,95759,91987,88304,84712,81212,77809,74503
17,586101,579525,561513,554212,579441,577712,590672,590575,597942,581230,571802,566265,568311,567946,569765,570420,581989,570790,565389,569673,580417,576342,582548,583468,586838,582052,575389,562155,555737,536103,531288,519175,509573,497573,479942,463096,447322,441834,432804,420058,401378,395090,389574,384512,379641,374654,369796,364969,359942,355104,350018,344462,338921,333001,326973,320618,314535,308400,302093,295412,288616,281682,274733,267651,260702,253824,246875,239792,232824,225838,218897,211979,205180,198520,192067,185746,179693,173746,167974,162348,156886,151636,146580,141703,136914,132241,127710,123363,119100,114917,110812,106787,102844,98986,95214,91531,87939,84439,81036
18,601777,588055,582069,566152,560832,585235,584895,598015,597142,604124,586324,575809,568901,570728,570722,575369,579330,586873,574707,566163,569708,586339,581658,587783,588703,592073,587287,580624,567390,560972,541338,536523,524410,514808,502808,485177,468331,452557,447069,438039,425293,406613,400325,394809,389747,384876,379889,375031,370204,365177,360339,355253,349697,344156,338236,332208,325853,319770,313635,307328,300647,293851,286917,279968,272886,265937,259059,252110,245027,238059,231073,224132,217214,210415,203755,197302,190981,184928,178981,173209,167583,162121,156871,151815,146938,142149,137476,132945,128598,124335,120152,116047,112022,108079,104221,100449,96766,93174,89674
19,626198,602618,591807,585495,569759,566346,594830,594316,605884,603863,610128,591398,579167,572067,574614,577538,587285,585535,590744,576282,567290,577155,592297,587639,593764,594684,598054,593268,586605,573371,566953,547319,542504,530391,520789,508789,491158,474312,458538,453050,444020,431274,412594,406306,400790,395728,390857,385870,381012,376185,371158,366320,361234,355678,350137,344217,338189,331834,325751,319616,313309,306628,299832,292898,285949,278867,271918,265040,258091,251008,244040,237054,230113,223195,216396,209736,203283,196962,190909,184962,179190,173564,168102,162852,157796,152919,148130,143457,138926,134579,130316,126133,122028,118003,114060,110202,106430,102747,99155
