age,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,0.006825912463886716,0.004413280164881939,0.006035148795090748,0.0010152193375111906,0.003162610432804054,0.0056457000021548475,0.004139468521490993,-0.0014506185276221945,-0.0011167978489193024,-0.0027077933111359356,0.003379566648739083,-0.00024529676226998746,-0.0013511930331549966,-0.00046605592671120533,-4.140983939193792e-06,0.0009703036028904834,0.00149428874053434,0.013405814754748762,0.01998920414291016,0.006613064135362854,0.009050835442532436,0.005970755483346872
2,0.007355928296232472,0.008481190785013398,0.005278614177911602,0.005298792513141592,0.002289528804239921,0.005925443594335015,0.004664052511660131,0.00230186795874399,-0.0015772953682958368,-0.0013370269221319793,0.004995287464655985,0.002385178508169144,-0.0019122858277332015,-0.002602415103783767,-0.0012147118211271806,-0.0003416325896785548,0.0008524442403680179,0.0034405129172828727,0.015536247810707785,0.004521947036045635,0.008863343096993872,0.006404421004719828
3,0.0051426634679653345,0.008217569580174293,0.008477656234994153,0.005376622416152054,0.004231640859309336,0.004734566259835423,0.005478777155638987,0.003369827953931466,0.0015983923929280882,-0.0016325053069602012,0.004590484238148974,0.0028098601201855446,-0.001015822029460689,-0.0020473076309591946,-0.003034597945177283,-0.000913644560208375,0.00028168430645595575,0.0018754792242355245,0.01514276842607049,0.002405477364390368,0.007686102219514891,0.0065532392941468265
4,0.007120414811388038,0.006060126552471804,0.008971045958471239,0.008563239316957492,0.003703785437907343,0.007164020856632438,0.0037779751332149203,0.0030508250282102957,0.0018191931072597672,0.0007165364221655677,0.004220827796210407,0.002745253922678601,-0.0006960006042795945,-0.0013446934617521763,-0.002106039067024693,-0.002392988955284337,-0.0008101972549554392,0.0017041242706223884,0.018611563379803943,0.001107188323255909,0.006153320229040253,0.006938949844906419
5,0.007591717914477369,0.008182068733205228,0.006783831151322688,0.009140208249973724,0.006976085431126894,0.007592775137325892,0.005784545942886397,0.0022720556618246873,0.002077022779502192,0.0015471309120292523,0.004304979986704949,0.0019753458608003393,-0.00026545618645642535,-0.0011392124856248662,-0.0015931777125751613,-0.0018240610231324104,-0.0004612182468976174,0.0018143866409762364,0.01973875961460945,-0.0037275612674957073,0.005136061520850861,0.00628556867408477
6,0.006804207073232889,0.008782897394368636,0.00949580358380208,0.007095205946954269,0.007480549475045954,0.01054055992013223,0.0061099129701087055,0.0037368069208890196,0.0009551368176112399,0.0019659682883088046,0.0037621063558588934,0.002003313036145893,-0.0007749361508589021,-0.0008833187293663648,-0.0014251892745047873,-0.0013728021697333346,-0.00020199503129979084,0.0003411434813988066,0.003780472168352219,-0.005065697987910435,0.00550049719648035,0.005790555293916171
7,0.0063629080789767214,0.007605141654327661,0.009204103424605294,0.009344423528615298,0.005654642088117865,0.011228191084188762,0.0093644474848626,0.0039780511344946375,0.003012241807845042,0.0015098279924931916,0.0032405903023781492,0.0016128209592855044,-0.0007290973072591739,-0.0015930898415138204,-0.00165126431568205,-0.0013009203876417977,0.000433427087518788,-0.00025679321914846614,0.006201568724854176,0.009101233257024017,0.004751242311320466,0.005430932213073713
8,0.0072104989436666675,0.00669975280616423,0.007795175943939709,0.010163112379951897,0.007722691110986902,0.009681139406938395,0.009275948713258042,0.007076691799797757,0.003069378761339149,0.0025456843529422235,0.0033690965960324615,0.0014000148674145213,-0.0006268810822390717,-0.000713805992454051,-0.001504452864860505,-0.001359399734508877,0.0003414621808051281,0.00017292384471066867,0.0048841017388988675,0.004950659924731162,0.004230692397609926,0.005296552171647224
9,0.006726744089082105,0.007652530479616579,0.007837506526526072,0.009031837273243533,0.008061408857449602,0.011289114860180263,0.008473435715376948,0.00790591797676737,0.0059906390671284485,0.0032125371505692833,0.0035939733470652475,0.001967629769659184,-0.0003146071387541204,-0.0005148217715140153,-0.0011295339704702522,-0.0010115041030891265,0.0005828852107094495,0.0008217579841463921,0.00667965540191336,0.006014370586720646,0.004181579993917702,0.005146436097926063
10,0.005793907510752497,0.006970789685366496,0.009752984458292665,0.008752616118103069,0.007336879801477035,0.011455480595818582,0.01044277589166717,0.006674541700105501,0.0068830307902791295,0.004876772967625771,0.003651280363231732,0.0014030704773093602,0.00015240644521601423,-0.0007231169345499614,-0.0008526183293603077,-0.000722169184864743,0.0006996289154169736,-0.0005008471776728722,0.005496746344826092,0.005196723884800414,0.003940148600957667,0.005016414001696728
