age,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2023
1,3740,2511,3427,693,1875,3284,2452,-705,-507,-1373,1938,-10,-579,-127,89,551,774,5946,3729
2,4030,4608,2957,3003,1382,3388,2717,1391,-803,-660,2857,1375,-932,-1244,-532,-94,469,1642,3696
3,2814,4501,4619,3000,2408,2739,3136,1973,975,-858,2655,1627,-482,-1022,-1484,-402,188,938,3333
4,3789,3306,4930,4688,2084,4034,2194,1768,1085,460,2465,1601,-334,-672,-1069,-1171,-359,867,2786
5,4009,4375,3705,5059,3851,4230,3280,1339,1217,926,2497,1176,-104,-587,-814,-924,-191,945,2433
6,3636,4664,5104,3895,4176,5846,3430,2142,587,1154,2190,1187,-399,-454,-748,-696,-64,209,2681
7,3400,4081,4926,5066,3129,6312,5243,2259,1736,902,1873,963,-371,-866,-888,-678,275,-99,2377
8,3869,3595,4212,5483,4222,5372,5267,4002,1753,1479,1960,835,-314,-364,-813,-722,230,130,2180
9,3712,4130,4227,4911,4389,6221,4743,4532,3411,1840,2072,1166,-136,-251,-599,-533,370,497,2187
10,3342,3869,5298,4752,4024,6290,5816,3773,3977,2801,2090,835,127,-369,-443,-366,443,-237,2153
11,2383,3663,4661,5074,3833,5702,5987,4860,3070,3156,2120,966,116,-204,-396,-222,536,110,1954
12,2174,2576,4188,5024,4295,5596,5554,4871,4114,2822,2318,895,350,12,-402,-232,545,259,1991
13,2174,2333,3570,4804,4019,6019,5394,4364,4268,3325,2235,1286,309,104,-314,9,614,538,2075
14,2531,2364,3004,3637,3850,5711,5816,4548,3869,3400,1834,1308,910,188,-220,353,1055,899,2282
15,2413,2673,3245,3888,2981,5372,5779,5021,4017,3335,2061,1180,983,636,-85,259,1011,1121,2275
16,1162,3076,3884,4350,3262,4605,5705,5232,4556,3304,2352,1366,976,934,561,839,1539,1244,2605
17,1407,1752,4546,5118,4065,5088,5395,5481,4792,4064,3028,1617,1611,1444,1464,2610,2275,1893,3670
18,2233,2811,4921,6927,6078,7487,7652,6855,6449,5325,4196,2801,2570,2931,5798,9185,5061,4076,6114
19,1146,4055,3721,3885,5808,9986,9798,8198,7014,6272,5298,3549,3341,4067,7047,12312,6421,4045,7685
20,302,5032,4461,2658,2846,12199,10911,8519,6999,6085,5896,3505,2889,3304,5775,8196,5034,2086,6714
21,0,6788,5265,3416,3259,12304,12887,9274,8397,6424,6510,4167,2326,2964,5482,7713,4864,1064,6430
22,731,8510,7020,3773,4362,14436,12894,10238,9999,7893,7567,4797,3200,2782,4220,6047,4174,1042,7463
23,2272,11408,8581,4327,4747,15812,14041,10158,11777,9061,8531,5975,3346,3248,4050,5567,4446,1363,7553
24,3794,14165,10415,4200,4408,15258,15058,10430,10636,9414,9537,6924,3756,3015,4091,4658,4169,1311,7663
25,4791,16839,13013,5029,4310,15820,14305,10729,11500,9093,9502,7017,3450,3295,3346,4645,2868,847,7281
26,5357,18534,15127,6647,4522,15546,13851,10177,11540,9409,9721,7098,3247,2962,4381,3205,2572,160,7476
27,5353,19344,15957,7472,5121,16105,12927,8953,10412,8910,9438,6753,2932,2746,3326,3724,2291,562,7800
28,7176,20669,18205,9809,7206,17533,14451,8474,10114,9769,8964,6287,2610,2801,3466,2724,1993,623,8016
29,6654,20510,16358,8844,6700,16737,12772,7349,7638,7421,8342,5887,2295,2627,3077,2688,2238,292,8104
30,7543,20416,17927,8992,7076,17346,14241,7258,7567,7361,8313,5485,1988,2277,2913,2178,2287,444,8458
31,5693,16941,13591,7146,4067,14423,10730,5895,5635,4078,7780,5475,1822,1920,2394,2246,2574,214,7999
32,4142,13413,10341,3761,2583,10836,7438,3382,4123,1775,7413,4914,1762,1480,1991,1524,2256,398,7904
33,5347,13429,10452,4327,2490,11077,6516,2987,3786,1513,6991,4887,1524,1613,1503,1468,2118,251,7423
34,6464,12867,10072,3975,2698,9972,7042,2776,4128,1971,6459,4843,1326,1256,1552,1081,2156,309,7284
35,5719,12959,9724,4414,2519,9953,6571,3478,3688,1358,5965,4585,1310,1618,1245,1183,1897,446,6972
36,7545,14719,12940,6552,5220,12052,9166,5606,5840,3558,5583,4270,1178,990,1322,830,2348,369,6324
