age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,523007,535656,542323,558500,551127,556884,560700,570791,562322,553218,537347,534047,512140,499940,482977,469956,455066,431007,414974,404956,400626,393920,382068,363388,366071,369490,373363,377432,381367,385443,389551,393414,397500,401267,404393,407487,410002,412277,413976,415958,417748,419142,419783,420265,420528,420765,420748,420951,421262,421401,421215,421192,421041,420884,420656,420561,420651,421097,421727,422914,424240,425897,427816,430069,432826,436071,439789,443685,447867,452442,457608,462712,467730,472643,477446,482147,486750,491256,495690,500048,504348,508619,512873,517146,521462,525857,530330,534898,539590,544456,549502,554736,560158,565777,571584,577575,583755,590138,596717
1,529233,526577,538020,545596,559067,552870,560028,563021,569963,561694,551720,539163,533916,511448,499707,482975,470412,455746,436785,423269,407634,404252,396272,383526,364846,367529,370948,374821,378890,382825,386901,391009,394872,398958,402725,405851,408945,411460,413735,415434,417416,419206,420600,421241,421723,421986,422223,422206,422409,422720,422859,422673,422650,422499,422342,422114,422019,422109,422555,423185,424372,425698,427355,429274,431527,434284,437529,441247,445143,449325,453900,459066,464170,469188,474101,478904,483605,488208,492714,497148,501506,505806,510077,514331,518604,522920,527315,531788,536356,541048,545914,550960,556194,561616,567235,573042,579033,585213,591596
2,528131,533126,531043,540860,548487,560347,556146,562640,564317,569064,560943,554476,540449,532895,510117,499100,482810,470813,457314,443571,425183,411247,406841,397811,385065,366385,369068,372487,376360,380429,384364,388440,392548,396411,400497,404264,407390,410484,412999,415274,416973,418955,420745,422139,422780,423262,423525,423762,423745,423948,424259,424398,424212,424189,424038,423881,423653,423558,423648,424094,424724,425911,427237,428894,430813,433066,435823,439068,442786,446682,450864,455439,460605,465709,470727,475640,480443,485144,489747,494253,498687,503045,507345,511616,515870,520143,524459,528854,533327,537895,542587,547453,552499,557733,563155,568774,574581,580572,586752
3,518790,530847,537507,535545,543768,550808,563000,559193,564536,565219,568135,563518,556034,539900,531804,508569,498644,482946,471696,464239,444638,428451,413942,408454,399424,386678,367998,370681,374100,377973,382042,385977,390053,394161,398024,402110,405877,409003,412097,414612,416887,418586,420568,422358,423752,424393,424875,425138,425375,425358,425561,425872,426011,425825,425802,425651,425494,425266,425171,425261,425707,426337,427524,428850,430507,432426,434679,437436,440681,444399,448295,452477,457052,462218,467322,472340,477253,482056,486757,491360,495866,500300,504658,508958,513229,517483,521756,526072,530467,534940,539508,544200,549066,554112,559346,564768,570387,576194,582185
4,515957,522484,534064,542329,540131,545782,554754,565127,560899,565563,565624,570533,565065,555647,539174,530684,507352,498240,483769,480475,464753,447374,431424,415650,410162,401132,388386,369706,372389,375808,379681,383750,387685,391761,395869,399732,403818,407585,410711,413805,416320,418595,420294,422276,424066,425460,426101,426583,426846,427083,427066,427269,427580,427719,427533,427510,427359,427202,426974,426879,426969,427415,428045,429232,430558,432215,434134,436387,439144,442389,446107,450003,454185,458760,463926,469030,474048,478961,483764,488465,493068,497574,502008,506366,510666,514937,519191,523464,527780,532175,536648,541216,545908,550774,555820,561054,566476,572095,577902
5,521883,519874,526759,537687,547286,543899,549926,557963,566411,562064,566438,568059,571660,564915,555014,538315,529716,507118,499144,493318,478684,467140,450186,433340,417566,412078,403048,390302,371622,374305,377724,381597,385666,389601,393677,397785,401648,405734,409501,412627,415721,418236,420511,422210,424192,425982,427376,428017,428499,428762,428999,428982,429185,429496,429635,429449,429426,429275,429118,428890,428795,428885,429331,429961,431148,432474,434131,436050,438303,441060,444305,448023,451919,456101,460676,465842,470946,475964,480877,485680,490381,494984,499490,503924,508282,512582,516853,521107,525380,529696,534091,538564,543132,547824,552690,557736,562970,568392,574011
6,521774,525434,524440,531761,541502,551380,549632,553286,560048,566952,563169,568569,569197,571217,564416,554223,537576,529609,507291,501031,490819,481317,469845,452214,435368,419594,414106,405076,392330,373650,376333,379752,383625,387694,391629,395705,399813,403676,407762,411529,414655,417749,420264,422539,424238,426220,428010,429404,430045,430527,430790,431027,431010,431213,431524,431663,431477,431454,431303,431146,430918,430823,430913,431359,431989,433176,434502,436159,438078,440331,443088,446333,450051,453947,458129,462704,467870,472974,477992,482905,487708,492409,497012,501518,505952,510310,514610,518881,523135,527408,531724,536119,540592,545160,549852,554718,559764,564998,570420
7,524929,525094,529430,529267,536730,544564,557571,554779,555487,561735,567808,564994,569486,568782,570307,563484,553502,537809,529473,510437,505591,493151,483931,471931,454300,437454,421680,416192,407162,394416,375736,378419,381838,385711,389780,393715,397791,401899,405762,409848,413615,416741,419835,422350,424625,426324,428306,430096,431490,432131,432613,432876,433113,433096,433299,433610,433749,433563,433540,433389,433232,433004,432909,432999,433445,434075,435262,436588,438245,440164,442417,445174,448419,452137,456033,460215,464790,469956,475060,480078,484991,489794,494495,499098,503604,508038,512396,516696,520967,525221,529494,533810,538205,542678,547246,551938,556804,561850,567084
8,539637,528714,528612,533557,534646,540875,549836,562743,558705,557192,563165,569721,565785,569129,568376,569449,562718,553691,537902,532059,512964,507730,495763,486161,474161,456530,439684,423910,418422,409392,396646,377966,380649,384068,387941,392010,395945,400021,404129,407992,412078,415845,418971,422065,424580,426855,428554,430536,432326,433720,434361,434843,435106,435343,435326,435529,435840,435979,435793,435770,435619,435462,435234,435139,435229,435675,436305,437492,438818,440475,442394,444647,447404,450649,454367,458263,462445,467020,472186,477290,482308,487221,492024,496725,501328,505834,510268,514626,518926,523197,527451,531724,536040,540435,544908,549476,554168,559034,564080
9,562660,543267,532760,532755,538376,538956,546981,554495,567192,562052,558982,565189,570842,565607,568836,567734,568873,563046,554146,541495,535259,515109,510343,498230,488628,476628,458997,442151,426377,420889,411859,399113,380433,383116,386535,390408,394477,398412,402488,406596,410459,414545,418312,421438,424532,427047,429322,431021,433003,434793,436187,436828,437310,437573,437810,437793,437996,438307,438446,438260,438237,438086,437929,437701,437606,437696,438142,438772,439959,441285,442942,444861,447114,449871,453116,456834,460730,464912,469487,474653,479757,484775,489688,494491,499192,503795,508301,512735,517093,521393,525664,529918,534191,538507,542902,547375,551943,556635,561501
10,566374,565920,547054,537956,537418,542326,545130,552693,558196,571096,564793,561023,565982,570929,565198,568351,567324,569271,562764,557192,544309,537368,517693,512878,500765,491163,479163,461532,444686,428912,423424,414394,401648,382968,385651,389070,392943,397012,400947,405023,409131,412994,417080,420847,423973,427067,429582,431857,433556,435538,437328,438722,439363,439845,440108,440345,440328,440531,440842,440981,440795,440772,440621,440464,440236,440141,440231,440677,441307,442494,443820,445477,447396,449649,452406,455651,459369,463265,467447,472022,477188,482292,487310,492223,497026,501727,506330,510836,515270,519628,523928,528199,532453,536726,541042,545437,549910,554478,559170
11,571769,568684,569499,551622,542931,541177,547924,551007,557461,561199,574185,566859,561945,566055,570683,564759,568083,567812,569337,566257,560013,546219,539820,520186,515371,503258,493656,481656,464025,447179,431405,425917,416887,404141,385461,388144,391563,395436,399505,403440,407516,411624,415487,419573,423340,426466,429560,432075,434350,436049,438031,439821,441215,441856,442338,442601,442838,442821,443024,443335,443474,443288,443265,443114,442957,442729,442634,442724,443170,443800,444987,446313,447970,449889,452142,454899,458144,461862,465758,469940,474515,479681,484785,489803,494716,499519,504220,508823,513329,517763,522121,526421,530692,534946,539219,543535,547930,552403,556971
12,562281,573863,571180,573595,556540,547135,546663,553371,555780,561491,563954,576443,567704,562246,566021,570232,564478,568576,568025,573063,568876,561956,548709,542291,522657,517842,505729,496127,484127,466496,449650,433876,428388,419358,406612,387932,390615,394034,397907,401976,405911,409987,414095,417958,422044,425811,428937,432031,434546,436821,438520,440502,442292,443686,444327,444809,445072,445309,445292,445495,445806,445945,445759,445736,445585,445428,445200,445105,445195,445641,446271,447458,448784,450441,452360,454613,457370,460615,464333,468229,472411,476986,482152,487256,492274,497187,501990,506691,511294,515800,520234,524592,528892,533163,537417,541690,546006,550401,554874
