age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,523007,535656,542323,558500,551127,556884,560700,570791,562322,553218,537347,534047,512140,499940,482977,469956,455066,431007,414974,404956,400626,393920,382068,363388,361926,361175,360837,360652,360300,360043,359776,359246,358883,358195,356907,355569,353709,351634,349061,346732,344242,341428,338005,334394,330550,326631,322457,318406,314385,310176,305666,301228,296643,292004,287263,282570,277962,273559,269230,265238,261280,257490,253816,250302,247057,244063,241301,238567,235929,233453,231262,229009,226677,224259,221750,219157,216481,213724,210898,208001,205041,202034,198984,195906,192810,189710,186603,183492,180388,177308,174255,171233,168240,165281,162351,159447,156573,153732,150921
1,529233,526577,538020,545596,559067,552870,560028,563021,569963,561694,551720,539163,533916,511448,499707,482975,470412,455746,436785,423269,407634,404252,396272,383526,364827,363345,362575,362217,362013,361641,361365,361079,360529,360147,359439,358131,356775,354895,352800,350208,347859,345350,342516,339074,335444,331580,327642,323449,319378,315337,311109,306579,302122,297518,292860,288099,283387,278759,274336,269988,265976,261999,258190,254497,250963,247699,244686,241904,239151,236492,233998,231787,229514,227163,224725,222197,219584,216889,214113,211267,208350,205372,202345,199276,196179,193063,189944,186816,183686,180562,177463,174391,171350,168338,165359,162409,159486,156592,153732
2,528131,533126,531043,540860,548487,560347,556146,562640,564317,569064,560943,554476,540449,532895,510117,499100,482810,470813,457314,443571,425183,411247,406841,397811,385044,366325,364822,364032,363654,363429,363036,362739,362433,361863,361460,360732,359403,358026,356126,354011,351398,349029,346499,343645,340182,336532,332647,328688,324475,320383,316322,312073,307523,303046,298421,293742,288960,284228,279580,275136,270768,266736,262738,258908,255194,251640,248356,245322,242520,239746,237067,234552,232320,230027,227656,225197,222649,220015,217299,214503,211637,208699,205700,202653,199563,196445,193309,190169,187022,183871,180727,177607,174515,171452,168420,165420,162450,159507,156592
3,518790,530847,537507,535545,543768,550808,563000,559193,564536,565219,568135,563518,556034,539900,531804,508569,498644,482946,471696,464239,444638,428451,413942,408454,399402,386614,367873,366349,365537,365138,364891,364477,364159,363831,363240,362815,362065,360715,359317,357395,355258,352624,350233,347682,344806,341322,337650,333744,329763,325529,321416,317333,313063,308491,303992,299346,294645,289842,285089,280419,275954,271564,267510,263490,259639,255904,252328,249022,245967,243143,240348,237648,235111,232858,230543,228151,225670,223100,220446,217708,214890,212002,209043,206023,202954,199843,196703,193546,190385,187215,184043,180877,177736,174622,171538,168484,165463,162472,159507
4,515957,522484,534064,542329,540131,545782,554754,565127,560899,565563,565624,570533,565065,555647,539174,530684,507352,498240,483769,480475,464753,447374,431424,415650,410139,401064,388254,369490,367943,367108,366686,366417,365980,365639,365288,364674,364227,363455,362082,360660,358716,356556,353900,351486,348911,346013,342506,338811,334882,330879,326622,322486,318381,314087,309493,304971,300302,295579,290753,285977,281284,276796,272384,268307,264265,260391,256633,253034,249705,246627,243781,240963,238240,235680,233405,231067,228652,226149,223556,220878,218118,215277,212367,209385,206341,203250,200116,196954,193774,190589,187397,184202,181014,177850,174713,171607,168530,165486,162472
5,521883,519874,526759,537687,547286,543899,549926,557963,566411,562064,566438,568059,571660,564915,555014,538315,529716,507118,499144,493318,478684,467140,450186,433340,417540,412004,402904,390067,371278,369706,368846,368398,368103,367641,367274,366898,366258,365785,364987,363589,362142,360172,357987,355305,352865,350265,347342,343809,340089,336134,332106,327822,323661,319530,315211,310592,306044,301350,296601,291749,286947,282229,277716,273278,269175,265108,261208,257425,253800,250446,247343,244471,241627,238878,236293,233992,231629,229188,226660,224041,221338,218552,215686,212750,209743,206674,203557,200397,197209,194004,190794,187576,184355,181142,177952,174790,171658,168555,165486
6,521774,525434,524440,531761,541502,551380,549632,553286,560048,566952,563169,568569,569197,571217,564416,554223,537576,529609,507291,501031,490819,481317,469845,452214,435340,419514,413951,404824,391960,373144,371545,370657,370182,369861,369371,368978,368574,367908,367408,366583,365157,363683,361686,359474,356765,354299,351671,348721,345161,341414,337432,333376,329066,324878,320720,316374,311727,307153,302431,297656,292777,287948,283203,278662,274197,270068,265973,262047,258236,254584,251203,248073,245174,242303,239527,236915,234587,232197,229729,227173,224528,221798,218985,216091,213129,210094,206998,203854,200667,197453,194220,190983,187738,184491,181250,178033,174844,171685,168555
7,524929,525094,529430,529267,536730,544564,557571,554779,555487,561735,567808,564994,569486,568782,570307,563484,553502,537809,529473,510437,505591,493151,483931,471931,454272,437371,421516,415925,406771,393879,375036,373408,372493,371990,371641,371124,370702,370271,369576,369049,368196,366743,365241,363216,360976,358239,355745,353090,350112,346524,342749,338739,334656,330318,326102,321916,317542,312868,308265,303516,298713,293806,288949,284176,279608,275115,270958,266835,262881,259043,255363,251954,248796,245869,242970,240167,237527,235171,232753,230257,227674,225001,222243,219402,216481,213490,210428,207304,204133,200918,197675,194415,191150,187877,184602,181333,178089,174872,171685
8,539637,528714,528612,533557,534646,540875,549836,562743,558705,557192,563165,569721,565785,569129,568376,569449,562718,553691,537902,532059,512964,507730,495763,486161,474131,456442,439512,423627,418007,408822,395901,377028,375371,374426,373893,373514,372967,372516,372055,371331,370773,369891,368408,366876,364822,362552,359785,357261,354577,351569,347951,344146,340107,335994,331626,327380,323165,318761,314057,309425,304646,299813,294876,289990,285187,280589,276067,271880,267727,263743,259875,256166,252727,249539,246583,243654,240821,238152,235766,233318,230793,228179,225476,222689,219818,216867,213847,210755,207601,204400,201156,197883,194593,191299,187996,184691,181393,178119,174872
9,562660,543267,532760,532755,538376,538956,546981,554495,567192,562052,558982,565189,570842,565607,568836,567734,568873,563046,554146,541495,535259,515109,510343,498230,488595,476532,458811,441847,425930,420276,411059,398105,379199,377509,376531,375966,375553,374974,374489,373996,373239,372648,371733,370217,368652,366565,364262,361463,358906,356188,353147,349497,345659,341587,337441,333040,328762,324513,320077,315340,310675,305863,300997,296028,291108,286272,281642,277086,272866,268681,264664,260763,257021,253550,250329,247339,244378,241512,238809,236391,233910,231352,228706,225970,223149,220246,217262,214209,211084,207897,204663,201386,198081,194757,191430,188095,184757,181426,178119
