age,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
20,-0.00077791,-0.00074913,-0.0007574600000000001,-0.00077164,-0.00072412,-0.00070337,-0.0007039100000000001,-0.0007136099999999999,-0.00068977,-0.0006701200000000001,-0.00064779,-0.00066408,-0.00066376,-0.0006649000000000001,-0.00066151,-0.00066547,-0.00067623,-0.0006934399999999999,-0.00072462,-0.00070831,-0.00067711,-0.00067297,-0.00066596,-0.00066808,-0.0006453100000000001,-0.00063315,-0.00061519,-0.0005812300000000001,-0.00052722,-0.00048219,-0.00047536000000000003,-0.0004687,-0.0004529,-0.00042470999999999996,-0.00040446,-0.00040366999999999996,-0.00038121,-0.00035868,-0.00032002999999999996,-0.00031036999999999997,-0.00029043,-0.00028747,-0.00027961999999999996,-0.00027267000000000003,-0.00027281,-0.00026724999999999996,-0.00026276,-0.00025534,-0.00025755,-0.00027116
21,-0.00078476,-0.00074333,-0.0007321,-0.00075542,-0.0007288,-0.00071558,-0.00070892,-0.0007098499999999999,-0.00069527,-0.00067235,-0.00065432,-0.00065885,-0.0006590200000000001,-0.00066655,-0.00068581,-0.00069392,-0.00070923,-0.0007170400000000001,-0.00074883,-0.0007293,-0.0006791599999999999,-0.00066144,-0.0006492,-0.00066029,-0.0006572700000000001,-0.00066033,-0.00064255,-0.00060395,-0.0005434999999999999,-0.00048919,-0.00047592,-0.00047155000000000005,-0.00046942,-0.0004385,-0.00041241,-0.00040638999999999996,-0.00037317,-0.00035755,-0.00032584000000000004,-0.00031621,-0.00029755,-0.00029448,-0.00029204999999999997,-0.00028656,-0.00028207,-0.00027609,-0.00026664,-0.00025885000000000003,-0.00025989000000000003,-0.00027239999999999995
22,-0.00080328,-0.00076733,-0.00072731,-0.00073285,-0.00071095,-0.0007161,-0.0007204700000000001,-0.00070977,-0.00069149,-0.0006615299999999999,-0.0006575,-0.00065476,-0.00065595,-0.0006572700000000001,-0.00068981,-0.0007175500000000001,-0.00073384,-0.00074199,-0.0007712999999999999,-0.0007470900000000001,-0.0006916299999999999,-0.0006566300000000001,-0.00064978,-0.0006711,-0.00067419,-0.0006793,-0.0006611,-0.0006187899999999999,-0.00056377,-0.00050806,-0.00048405,-0.00047824,-0.00048053,-0.00045714,-0.00042367,-0.00040719,-0.00037631,-0.00036589,-0.00033375,-0.00032799,-0.00030747999999999995,-0.00030275999999999995,-0.00030293999999999997,-0.00030297,-0.00029526000000000004,-0.00028660999999999997,-0.00026793,-0.0002671,-0.00026312000000000004,-0.00028103
23,-0.0008290499999999999,-0.00078754,-0.00074282,-0.00073112,-0.0007072000000000001,-0.00070879,-0.00071845,-0.00070263,-0.00068386,-0.00065118,-0.0006583,-0.0006568899999999999,-0.00065249,-0.00065229,-0.0006785799999999999,-0.00071911,-0.0007534800000000001,-0.0007681599999999999,-0.00079625,-0.0007509099999999999,-0.00068912,-0.0006521599999999999,-0.00064154,-0.00066864,-0.0006828100000000001,-0.00068103,-0.00065824,-0.0006173800000000001,-0.00057304,-0.0005141400000000001,-0.00048454000000000005,-0.00048178,-0.00049307,-0.00047171999999999996,-0.00043771,-0.00041462,-0.00037915,-0.00036902,-0.00034253,-0.00033775,-0.00032118999999999995,-0.00031467,-0.00031380000000000004,-0.00030878,-0.00030115,-0.00029345,-0.00027566,-0.00027300999999999996,-0.00026933,-0.00028737
24,-0.0008012200000000001,-0.00079779,-0.000739,-0.00072739,-0.00069286,-0.00069419,-0.00070615,-0.00070141,-0.00068145,-0.00064961,-0.0006434699999999999,-0.00065013,-0.0006462,-0.00065567,-0.00067965,-0.00071716,-0.00076052,-0.00079391,-0.00082785,-0.0007783099999999999,-0.00070468,-0.0006602299999999999,-0.00065198,-0.00066127,-0.00067139,-0.0006644,-0.00064514,-0.00062089,-0.0005872000000000001,-0.00052745,-0.00048924,-0.00048229,-0.00048756,-0.00047113,-0.00043364,-0.00042465000000000005,-0.00038488,-0.00038089,-0.00035204,-0.00035385,-0.00033305,-0.00033016,-0.00031902000000000005,-0.0003149,-0.00030972,-0.00030641,-0.00029085,-0.00028726,-0.00027431,-0.00028491
25,-0.00077113,-0.0007795699999999999,-0.0007506199999999999,-0.00072736,-0.0007004099999999999,-0.00069136,-0.00069566,-0.00069533,-0.00068023,-0.00066018,-0.0006353299999999999,-0.0006427199999999999,-0.0006416600000000001,-0.0006616699999999999,-0.00067855,-0.00071802,-0.00076973,-0.00082474,-0.00087427,-0.0008183,-0.00073866,-0.00067965,-0.0006739500000000001,-0.00066555,-0.00065777,-0.00063869,-0.00063034,-0.00060958,-0.00058135,-0.00053462,-0.0005061600000000001,-0.00050427,-0.00050268,-0.00047516999999999997,-0.00043019,-0.00041941,-0.00039119999999999997,-0.00038897,-0.00035909,-0.00036021999999999996,-0.00033839000000000004,-0.00033703,-0.00032142,-0.0003186,-0.00031947,-0.00031663000000000004,-0.00030535,-0.00029391,-0.00028399,-0.00028975
26,-0.00072142,-0.00073761,-0.00074829,-0.00074252,-0.00071316,-0.00070029,-0.0007017099999999999,-0.00068667,-0.0006749600000000001,-0.00066055,-0.00063859,-0.00063881,-0.0006382600000000001,-0.0006612,-0.0006887999999999999,-0.0007293800000000001,-0.00078996,-0.0008425,-0.0008981,-0.00086078,-0.00078951,-0.00072644,-0.0007055200000000001,-0.00068362,-0.0006658699999999999,-0.00062971,-0.00061753,-0.0006057500000000001,-0.0005805599999999999,-0.00054022,-0.0005166600000000001,-0.00051776,-0.00051116,-0.00049261,-0.00044752999999999997,-0.00043167,-0.00040008,-0.00038905,-0.00036159999999999995,-0.00035887999999999995,-0.00034569,-0.00034166000000000003,-0.00032815,-0.00032316,-0.00032564,-0.00032688,-0.00032227,-0.00031436999999999996,-0.00030157000000000003,-0.00030435
27,-0.00072943,-0.00070557,-0.0007275700000000001,-0.0007398,-0.00073463,-0.0007180299999999999,-0.00071715,-0.0006894700000000001,-0.0006749000000000001,-0.00066194,-0.0006464800000000001,-0.00064015,-0.0006376,-0.0006573400000000001,-0.0006918800000000001,-0.00074174,-0.00080111,-0.00086783,-0.00091345,-0.0009010099999999999,-0.0008504000000000001,-0.0007938800000000001,-0.0007542,-0.0007051500000000001,-0.00067701,-0.00064135,-0.00062641,-0.0006083,-0.0005834,-0.0005395100000000001,-0.0005292200000000001,-0.00052879,-0.00052997,-0.00050239,-0.00046045000000000005,-0.00043874999999999996,-0.00040801,-0.00038696000000000005,-0.00036396000000000003,-0.00035882,-0.00034464,-0.00033597,-0.00032482,-0.00031739,-0.00032669999999999997,-0.00033096,-0.00032912,-0.00032709,-0.00031804,-0.00032689000000000004
28,-0.00076311,-0.0007230100000000001,-0.00069813,-0.00073926,-0.00074522,-0.0007523499999999999,-0.00074256,-0.00072129,-0.00068706,-0.00066845,-0.00065539,-0.0006601399999999999,-0.00065815,-0.00065923,-0.0006850199999999999,-0.00074568,-0.00081099,-0.0008803999999999999,-0.00093743,-0.00094059,-0.00091507,-0.00088127,-0.0008407299999999999,-0.00077912,-0.0007140800000000001,-0.00065919,-0.00063662,-0.00061018,-0.0005813700000000001,-0.00053801,-0.00052457,-0.00052976,-0.00053281,-0.000515,-0.00048198999999999996,-0.00045772,-0.00042441,-0.00039233000000000003,-0.00037079,-0.00036879,-0.00035661,-0.00034189999999999996,-0.00033017999999999996,-0.00032092,-0.00032596999999999997,-0.00032972000000000003,-0.00032839,-0.00033991,-0.00033011,-0.00034655000000000005
29,-0.0008421699999999999,-0.000773,-0.00072241,-0.0007257,-0.0007484499999999999,-0.0007743499999999999,-0.0007786199999999999,-0.0007526000000000001,-0.0007152199999999999,-0.00068095,-0.00066504,-0.00067067,-0.00067988,-0.00067595,-0.0006951899999999999,-0.00074939,-0.0008244,-0.0008998000000000001,-0.00097065,-0.00098003,-0.0009674,-0.00095084,-0.00092,-0.0008498,-0.0007629399999999999,-0.00070098,-0.00066389,-0.000634,-0.0005781100000000001,-0.00052837,-0.00051496,-0.0005236199999999999,-0.0005380200000000001,-0.00051881,-0.0005026000000000001,-0.00048028,-0.00045288,-0.00041238,-0.00038458,-0.00037938,-0.00037254,-0.00035755,-0.00034967,-0.00033837,-0.00033224,-0.00032745999999999996,-0.00032173,-0.00033605,-0.00034171,-0.00036342000000000004
30,-0.00092145,-0.00085334,-0.00077013,-0.00074381,-0.00073683,-0.0007658700000000001,-0.0008007,-0.0007978600000000001,-0.00075685,-0.00071385,-0.00069056,-0.0006847800000000001,-0.00069095,-0.00069664,-0.00072058,-0.0007709,-0.00083197,-0.0009160899999999999,-0.00099977,-0.00102178,-0.0010244100000000001,-0.00102214,-0.0010043,-0.00092853,-0.00081866,-0.0007338900000000001,-0.0006793900000000001,-0.00064995,-0.00059245,-0.00053224,-0.0005161,-0.00051156,-0.0005340200000000001,-0.00051574,-0.00050876,-0.00049312,-0.00046904,-0.00043863,-0.00040874,-0.00040229999999999997,-0.00038945999999999995,-0.00038366,-0.00036609999999999995,-0.00035814,-0.00035187,-0.00034649,-0.00034409,-0.00035325,-0.00035514,-0.00037067
31,-0.00102327,-0.00093695,-0.0008572100000000001,-0.00079213,-0.0007737800000000001,-0.00075391,-0.00081787,-0.00083626,-0.0008216499999999999,-0.00075903,-0.00073861,-0.00071888,-0.0007173699999999999,-0.00072006,-0.00074328,-0.00079048,-0.0008464599999999999,-0.0009325900000000001,-0.00102934,-0.00105407,-0.0010613699999999998,-0.00106925,-0.00106031,-0.00098432,-0.0008758700000000001,-0.0007754799999999999,-0.0007111499999999999,-0.0006632,-0.00059577,-0.0005472000000000001,-0.0005209500000000001,-0.00052792,-0.00054334,-0.00052736,-0.00051854,-0.00050527,-0.00049054,-0.00046426000000000003,-0.00042918,-0.00042043,-0.00039830999999999997,-0.00040188,-0.00038697,-0.00038206,-0.00037641000000000004,-0.0003703,-0.00036685,-0.00037403999999999996,-0.00037666,-0.00038988
32,-0.0010689999999999999,-0.0010295399999999998,-0.0009622000000000001,-0.00088688,-0.0008472800000000001,-0.0008062599999999999,-0.00081639,-0.0008451499999999999,-0.00085856,-0.00081606,-0.0007962399999999999,-0.0007733799999999999,-0.00075111,-0.00073633,-0.00076244,-0.00081489,-0.00087393,-0.0009474399999999999,-0.00103564,-0.00106989,-0.00109308,-0.00110896,-0.00111452,-0.0010316700000000002,-0.00092757,-0.00081828,-0.0007435699999999999,-0.00069321,-0.00062551,-0.00057456,-0.0005461200000000001,-0.00053816,-0.00055311,-0.00053244,-0.00052157,-0.00050862,-0.00050548,-0.00048563,-0.00045667,-0.00044653,-0.00041968,-0.00042265,-0.00041404,-0.00041719,-0.00041172999999999996,-0.00040246,-0.00039534000000000005,-0.00039789000000000003,-0.0003963,-0.00040732
